filename,known_optimum,role,scale,reference_type
scp43.txt,516,development,small,optimum
scp44.txt,494,validation,small,optimum
scp45.txt,512,holdout,small,optimum
scp53.txt,226,development,small,optimum
scp54.txt,242,validation,small,optimum
scp55.txt,211,holdout,small,optimum
scp63.txt,145,development,small,optimum
scp64.txt,131,validation,small,optimum
scp65.txt,161,holdout,small,optimum
scpa3.txt,232,development,medium,optimum
scpa4.txt,234,validation,medium,optimum
scpa5.txt,236,holdout,medium,optimum
scpb3.txt,80,development,medium,optimum
scpb4.txt,79,validation,medium,optimum
scpb5.txt,72,holdout,medium,optimum
scpc3.txt,243,development,large,optimum
scpc4.txt,219,validation,large,optimum
scpc5.txt,215,holdout,large,optimum
scpd3.txt,72,development,large,optimum
scpd4.txt,62,validation,large,optimum
scpd5.txt,61,holdout,large,optimum
scpnre3.txt,27,development,large,optimum
scpnre4.txt,28,validation,large,optimum
scpnre5.txt,28,holdout,large,optimum
scpnrf3.txt,14,development,large,optimum
scpnrf4.txt,14,validation,large,optimum
scpnrf5.txt,13,holdout,large,optimum
scpnrg3.txt,166,development,very_large,best_known
scpnrg4.txt,168,validation,very_large,best_known
scpnrg5.txt,168,holdout,very_large,best_known
scpnrh3.txt,59,development,very_large,best_known
scpnrh4.txt,58,validation,very_large,best_known
scpnrh5.txt,55,holdout,very_large,best_known
