filename,known_optimum,role,scale,reference_type
scp41.txt,429,calibration,small,optimum
scp51.txt,253,calibration,small,optimum
scp61.txt,138,calibration,small,optimum
scpa1.txt,253,calibration,medium,optimum
scpb1.txt,69,calibration,medium,optimum
scpc1.txt,227,calibration,large,optimum
scpd1.txt,60,calibration,large,optimum
scpnre1.txt,29,calibration,large,optimum
scpnrf1.txt,14,calibration,large,optimum
scpnrg1.txt,176,calibration,very_large,best_known
scpnrh1.txt,63,calibration,very_large,best_known
scp42.txt,512,test,small,optimum
scp52.txt,302,test,small,optimum
scp62.txt,146,test,small,optimum
scpa2.txt,252,test,medium,optimum
scpb2.txt,76,test,medium,optimum
scpc2.txt,219,test,large,optimum
scpd2.txt,66,test,large,optimum
scpnre2.txt,30,test,large,optimum
scpnrf2.txt,15,test,large,optimum
scpnrg2.txt,154,test,very_large,best_known
scpnrh2.txt,63,test,very_large,best_known
