instance,algorithm,movement_mode,scheme,degenerate_cohesion,latent_amplitude,bound,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scp41,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,0,30,15000,15000,252,433.0,0.9324009324009324,True,0.9562,2214,19561,9.04562654113397,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,1,30,15000,15000,334,433.0,0.9324009324009324,True,0.9536,2196,19600,9.137245292309672,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,2,30,15000,15000,293,433.0,0.9324009324009324,True,0.9468,2547,19897,8.883285124786198,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,3,30,15000,15000,314,439.0,2.331002331002331,True,0.9542666666666667,2317,20069,9.038871333003044,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,4,30,15000,15000,274,441.0,2.797202797202797,True,0.9575333333333333,2320,19852,8.974325000308454,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,0,30,15000,15000,181,433.0,0.9324009324009324,True,0.0019333333333333333,363836,65175,15.716552707832307,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,1,30,15000,15000,154,433.0,0.9324009324009324,True,0.002,363809,65001,15.369699582923204,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,2,30,15000,15000,166,433.0,0.9324009324009324,True,0.002,363147,64348,15.652542541269213,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,3,30,15000,15000,152,433.0,0.9324009324009324,True,0.0018666666666666666,362934,64796,15.574292208999395,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO_BASE,PWO,V3-ELIT,MAX,1.0,1.0,4,30,15000,15000,161,433.0,0.9324009324009324,True,0.002,363659,64980,15.624000333249569,3.13.15,2.5.1,calibration,small,optimum
scp51,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,0,30,15000,15000,304,269.0,6.324110671936759,True,0.9568,2454,39664,14.658305750228465,3.13.15,2.5.1,calibration,small,optimum
scp51,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,1,30,15000,15000,305,257.0,1.5810276679841897,True,0.9472666666666667,3316,40254,14.901292415801436,3.13.15,2.5.1,calibration,small,optimum
scp51,BPWO_ANCHOR,PWO,S1-STD,MIN,4.0,6.0,2,30,15000,15000,368,272.0,7.509881422924901,True,0.9523333333333334,2710,40226,14.702396417036653,3.13.15,2.5.1,calibration,small,optimum
