configuracion,instancia,semilla,neta_ciclo,x_greedy,proxy_ciclo,solapamiento_real,diferencia
BGWO,scp42,0,20.245,66,0.6933,0.6921,0.0012
BGWO,scp42,1,20.241,66,0.6933,0.6916,0.0017
BGWO,scp42,2,20.715,66,0.6861,0.6886,-0.0025
BGWO,scp52,0,20.509,68,0.6984,0.6933,0.0051
BGWO,scp52,1,20.56,68,0.6976,0.6929,0.0047
BGWO,scp52,2,20.509,68,0.6984,0.6945,0.0039
BGWO,scp62,0,11.716,40,0.7071,0.6948,0.0123
BGWO,scp62,1,11.829,40,0.7043,0.6929,0.0114
BGWO,scp62,2,11.77,40,0.7057,0.6933,0.0124
BGWO,scpa2,0,23.756,81,0.7067,0.6926,0.0141
BGWO,scpa2,1,23.751,81,0.7068,0.6922,0.0146
BGWO,scpa2,2,23.717,81,0.7072,0.693,0.0142
BGWO,scpb2,0,12.816,42,0.6949,0.6923,0.0026
BGWO,scpb2,1,12.77,42,0.696,0.6928,0.0032
BGWO,scpb2,2,12.713,42,0.6973,0.6942,0.0031
BGWO,scpc2,0,26.189,84,0.6882,0.6904,-0.0022
BGWO,scpc2,1,26.853,84,0.6803,0.6889,-0.0086
BGWO,scpc2,2,26.337,84,0.6865,0.688,-0.0015
BGWO,scpd2,0,14.072,48,0.7068,0.6923,0.0145
BGWO,scpd2,1,14.081,48,0.7066,0.6914,0.0152
BGWO,scpd2,2,14.149,48,0.7052,0.6911,0.0141
BGWO,scpnre2,0,9.342,28,0.6664,0.6794,-0.013
BGWO,scpnre2,1,9.26,28,0.6693,0.6785,-0.0092
BGWO,scpnre2,2,8.454,28,0.6981,0.6924,0.0057
BGWO,scpnrf2,0,5.228,15,0.6515,0.6729,-0.0214
BGWO,scpnrf2,1,5.152,15,0.6565,0.6768,-0.0203
BGWO,scpnrf2,2,5.196,15,0.6536,0.6746,-0.021
BGWO,scpnrg2,0,35.743,113,0.6837,0.6846,-0.0009
