configuracion,estado,instancia,columnas,x_greedy,agregadas_ciclo,eliminadas_ciclo,neta_ciclo,proxy_ciclo,neta_total6000,proxy_total6000,analitico,error_ciclo
BPSO,velocidad,scp42,1000,66,78.32,15.51,62.81,0.0483,61.99,0.0608,0.0,0.0483
BPSO,velocidad,scp62,1000,40,37.2,5.97,31.23,0.2192,30.41,0.2398,0.0,0.2192
BPSO,velocidad,scp52,2000,68,69.78,10.48,59.3,0.1279,57.65,0.1522,0.0,0.1279
BPSO,velocidad,scpa2,3000,81,78.35,7.97,70.39,0.131,67.9,0.1617,0.0,0.131
BPSO,velocidad,scpb2,3000,42,43.38,5.15,38.23,0.0898,35.74,0.1491,0.0,0.0898
BPSO,velocidad,scpc2,4000,84,95.69,18.73,76.97,0.0837,73.65,0.1232,0.0,0.0837
BPSO,velocidad,scpd2,4000,48,42.89,2.64,40.26,0.1613,36.93,0.2305,0.0,0.1613
BPSO,velocidad,scpnre2,5000,28,21.42,1.43,19.99,0.2861,15.84,0.4344,0.0,0.2861
BPSO,velocidad,scpnrf2,5000,15,10.42,0.27,10.16,0.3229,6.0,0.6002,0.0,0.3229
BPSO,velocidad,scpnrg2,10000,113,106.3,11.41,94.89,0.1603,86.6,0.2337,0.0,0.1603
BPSO,velocidad,scpnrh2,10000,64,48.51,3.73,44.77,0.3004,36.47,0.4302,0.0,0.3004
IID,muestreo uniforme,scp42,1000,66,47.76,8.89,38.88,0.411,38.09,0.4228,0.4142,-0.0032
IID,muestreo uniforme,scp62,1000,40,27.27,4.19,23.08,0.4229,22.28,0.443,0.4142,0.0087
IID,muestreo uniforme,scp52,2000,68,46.35,6.92,39.43,0.4202,37.82,0.4439,0.4142,0.006
IID,muestreo uniforme,scpa2,3000,81,50.93,5.31,45.62,0.4368,43.18,0.4669,0.4142,0.0226
IID,muestreo uniforme,scpb2,3000,42,27.45,2.59,24.86,0.4081,22.4,0.4667,0.4142,-0.0061
IID,muestreo uniforme,scpc2,4000,84,61.71,11.78,49.94,0.4055,46.67,0.4444,0.4142,-0.0087
IID,muestreo uniforme,scpd2,4000,48,29.23,2.19,27.05,0.4365,23.75,0.5052,0.4142,0.0223
