configuracion,instancia,semilla,propuestas,activas_medias,esperada,real,estado_medio,analitico
BGWO,scp42,0,5990,63.8,0.6913,0.6921,0.9977,0.7071
BGWO,scp42,1,5990,64.6,0.6915,0.6916,0.9976,0.7071
BGWO,scp42,2,5990,63.7,0.6895,0.6886,0.9958,0.7071
BPSO,scp42,0,5990,65.0,0.0392,0.0391,0.0761,0.0
BPSO,scp42,1,5990,65.0,0.0299,0.0298,0.0604,0.0
BPSO,scp42,2,5990,65.0,0.0386,0.0387,0.0753,0.0
BPWO-S2,scp42,0,5990,65.0,0.7304,0.7305,0.9997,0.7311
BPWO-S2,scp42,1,5990,63.1,0.7304,0.7312,0.9997,0.7311
BPWO-S2,scp42,2,5990,63.1,0.7303,0.7299,0.9998,0.7311
BPWO-V3,scp42,0,5990,65.0,0.707,0.707,0.9998,0.7071
BPWO-V3,scp42,1,5990,63.3,0.7069,0.7074,0.9997,0.7071
BPWO-V3,scp42,2,5990,64.6,0.707,0.7061,0.9998,0.7071
IID,scp42,0,5990,63.1,0.4142,0.4139,0.5,0.4142
IID,scp42,1,5990,64.6,0.4143,0.4157,0.5001,0.4142
IID,scp42,2,5990,63.3,0.4147,0.4135,0.5006,0.4142
BGWO,scp52,0,5990,67.0,0.6929,0.6933,1.0006,0.7071
BGWO,scp52,1,5990,67.1,0.6929,0.6929,1.0007,0.7071
BGWO,scp52,2,5990,67.0,0.6927,0.6945,1.0006,0.7071
BPSO,scp52,0,5990,67.0,0.1253,0.1252,0.2346,0.0
BPSO,scp52,1,5990,65.0,0.0996,0.0993,0.1912,0.0
BPSO,scp52,2,5990,67.0,0.1264,0.1267,0.2359,0.0
BPWO-S2,scp52,0,5990,67.4,0.73,0.7305,0.9997,0.7311
BPWO-S2,scp52,1,5990,67.0,0.7301,0.7313,0.9997,0.7311
BPWO-S2,scp52,2,5990,67.1,0.7303,0.7304,0.9997,0.7311
BPWO-V3,scp52,0,5990,63.4,0.7069,0.7079,0.9997,0.7071
BPWO-V3,scp52,1,5990,64.6,0.7069,0.7087,0.9997,0.7071
BPWO-V3,scp52,2,5990,67.0,0.707,0.7077,0.9998,0.7071
IID,scp52,0,5990,64.2,0.4138,0.4136,0.4993,0.4142
IID,scp52,1,5990,64.6,0.4144,0.4149,0.5004,0.4142
IID,scp52,2,5990,67.0,0.4139,0.4141,0.4997,0.4142
BGWO,scp62,0,5990,37.0,0.6932,0.6948,1.0027,0.7071
BGWO,scp62,1,5990,37.0,0.6928,0.6929,1.0015,0.7071
BGWO,scp62,2,5990,37.1,0.6928,0.6933,1.0017,0.7071
BPSO,scp62,0,5990,37.2,0.1937,0.1929,0.3872,0.0
BPSO,scp62,1,5990,37.1,0.1787,0.178,0.3419,0.0
BPSO,scp62,2,5990,36.0,0.1949,0.1949,0.3839,0.0
BPWO-S2,scp62,0,5990,37.0,0.7305,0.7303,0.9998,0.7311
BPWO-S2,scp62,1,5990,36.0,0.7302,0.728,0.9997,0.7311
BPWO-S2,scp62,2,5990,37.0,0.7303,0.7296,0.9998,0.7311
BPWO-V3,scp62,0,5990,37.0,0.707,0.7064,0.9997,0.7071
BPWO-V3,scp62,1,5990,37.0,0.7069,0.7061,0.9996,0.7071
BPWO-V3,scp62,2,5990,37.0,0.7069,0.7074,0.9997,0.7071
IID,scp62,0,5990,37.0,0.4141,0.4151,0.4999,0.4142
IID,scp62,1,5990,37.0,0.4145,0.4165,0.5001,0.4142
IID,scp62,2,5990,37.1,0.4143,0.4132,0.5001,0.4142
BGWO,scpa2,0,5990,75.2,0.6931,0.6926,1.0008,0.7071
