instance,role,scale,algorithm,movement_mode,scheme,runs,final_diversity_median,minimum_diversity_median,trajectory_diversity_median,exploitation_rate_median,restart_rate_median,initially_feasible_rate_mean,added_per_iteration_mean,removed_per_iteration_mean
scp42,test,small,ABLATION_IID,IID,V3-ELIT,31,0.00035999999999999997,0.0,0.00035999999999999997,0.0,0.0,0.0,477.64736927136624,88.89687112930152
scp42,test,small,BGWO,REFERENCE,V3-ELIT,31,0.0032400000000000003,0.0,0.0033599999999999997,N/A,N/A,0.0,249.44687382196133,46.32640422209058
scp42,test,small,BPSO,REFERENCE,V3-ELIT,31,0.0031399999999999996,0.0,0.0029400000000000003,N/A,N/A,0.0,783.2442780979051,155.10065162367385
scp42,test,small,BPWO,PWO,S2-ELIT,31,0.00035999999999999997,0.0,0.00035999999999999997,0.9782971619365609,0.0,0.0,218.3653400829339,41.634983036243206
scp42,test,small,BPWO,PWO,V3-ELIT,31,0.0,0.0,0.00035999999999999997,0.9782971619365609,0.0,0.0,237.69158274543594,45.29188432333459
scp52,test,small,ABLATION_IID,IID,V3-ELIT,31,0.00047999999999999996,0.0,0.00099,0.0,0.0,0.0,463.50675857612146,69.20911196079487
scp52,test,small,BGWO,REFERENCE,V3-ELIT,31,0.0015,0.0,0.0013099999999999997,N/A,N/A,0.0,246.73525768754376,40.619581022133666
scp52,test,small,BPSO,REFERENCE,V3-ELIT,31,0.0058200000000000005,0.0005399999999999999,0.00489,N/A,N/A,0.0,697.827131240239,104.78081749151812
scp52,test,small,BPWO,PWO,S2-ELIT,31,0.0,0.0,0.0,0.9766277128547579,0.0,0.0,215.55560342506328,35.10679088803921
scp52,test,small,BPWO,PWO,V3-ELIT,31,0.0,0.0,0.0,0.9732888146911519,0.0,0.0,234.94210781409876,38.51666756421994
scp62,test,small,ABLATION_IID,IID,V3-ELIT,31,0.0,0.0,0.0,0.0,0.0,0.0,272.70299962302767,41.85631967257256
scp62,test,small,BGWO,REFERENCE,V3-ELIT,31,0.00302,0.0,0.00302,N/A,N/A,0.0,143.8688674672842,24.76552318380096
scp62,test,small,BPSO,REFERENCE,V3-ELIT,31,0.01204,0.0009,0.010280000000000001,N/A,N/A,0.0,372.01841779309603,59.70940815337391
scp62,test,small,BPWO,PWO,S2-ELIT,31,0.0,0.0,0.0,0.9799666110183639,0.0,1.0770639237438743e-05,127.3768108137218,23.014109537401044
scp62,test,small,BPWO,PWO,V3-ELIT,31,0.0,0.0,0.0,0.9799666110183639,0.0,0.0,137.5626581937638,24.369702191825088
scpa2,test,medium,ABLATION_IID,IID,V3-ELIT,31,0.0,0.0,0.0,0.0,0.0,0.0,509.315579729657,53.11368409715117
scpa2,test,medium,BGWO,REFERENCE,V3-ELIT,31,0.0012333333333333335,0.0,0.001226666666666667,N/A,N/A,0.0,268.8135602347999,30.842533254348645
scpa2,test,medium,BPSO,REFERENCE,V3-ELIT,31,0.004666666666666667,0.00047999999999999996,0.003813333333333334,N/A,N/A,0.0,783.5396090257957,79.66589477085465
scpa2,test,medium,BPWO,PWO,S2-ELIT,31,0.0,0.0,0.0,0.9716193656093489,0.0,0.0,233.87139856750497,26.217459206203888
scpa2,test,medium,BPWO,PWO,V3-ELIT,31,0.0,0.0,0.0,0.9666110183639399,0.0,0.0,254.51079756583553,28.35957779094189
scpb2,test,medium,ABLATION_IID,IID,V3-ELIT,31,0.0,0.0,0.0,0.0,0.0,0.0,274.4722925305617,25.885184985728902
scpb2,test,medium,BGWO,REFERENCE,V3-ELIT,31,0.0003,0.0,0.00036,N/A,N/A,0.0,141.42958694598525,13.77780171253164
scpb2,test,medium,BPSO,REFERENCE,V3-ELIT,31,0.0017666666666666666,0.0,0.0013666666666666669,N/A,N/A,0.0,433.7591685066509,51.49194894717001
scpb2,test,medium,BPWO,PWO,S2-ELIT,31,0.0,0.0,0.0,0.986644407345576,0.0,5.385319618719371e-06,124.33238192686737,12.13662555872691
scpb2,test,medium,BPWO,PWO,V3-ELIT,31,0.0,0.0,0.0,0.9849749582637729,0.0,0.0,135.39178200226183,13.267434972265605
scpc2,test,large,ABLATION_IID,IID,V3-ELIT,31,0.00042,0.0,0.00047999999999999996,0.0,0.0,0.0,617.1486886746728,117.7615380472831
scpc2,test,large,BGWO,REFERENCE,V3-ELIT,31,0.0009350000000000001,0.000135,0.0009500000000000001,N/A,N/A,0.0,327.9827131240239,64.7801173999677
scpc2,test,large,BPSO,REFERENCE,V3-ELIT,31,0.00265,0.00016,0.0021950000000000003,N/A,N/A,0.0,956.9400613926437,187.25343314125695
scpc2,test,large,BPWO,PWO,S2-ELIT,31,0.00016,0.0,0.00021,0.9816360601001669,0.0,0.0,285.9767892724433,58.28035973935053
scpc2,test,large,BPWO,PWO,V3-ELIT,31,0.00023999999999999998,0.0,0.00023999999999999998,0.9766277128547579,0.0,0.0,310.6122569874522,63.304001292476705
scpd2,test,large,ABLATION_IID,IID,V3-ELIT,31,8.999999999999999e-05,0.0,0.00017999999999999998,0.0,0.0,0.0,292.3392751359793,21.85438095750983
scpd2,test,large,BGWO,REFERENCE,V3-ELIT,31,0.00045,0.0,0.00054,N/A,N/A,0.0,154.8423716947601,14.111260703322742
scpd2,test,large,BPSO,REFERENCE,V3-ELIT,31,0.0025099999999999996,8.999999999999999e-05,0.0020749999999999996,N/A,N/A,0.0,428.93257579837365,26.366471000053853
scpd2,test,large,BPWO,PWO,S2-ELIT,31,0.0,0.0,0.0,0.9849749582637729,0.0,0.0,137.3061554203242,13.72922612957079
scpd2,test,large,BPWO,PWO,V3-ELIT,31,0.0,0.0,0.0,0.9833055091819699,0.0,0.0,147.6740266034789,13.721309709731273
scpnre2,test,large,ABLATION_IID,IID,V3-ELIT,31,0.0,0.0,0.0,0.0,0.0,0.0,182.06564704615218,11.387366040174484
scpnre2,test,large,BGWO,REFERENCE,V3-ELIT,31,0.0005279999999999999,0.0,0.000528,N/A,N/A,0.0001130917119931068,93.44191932791212,5.315041197695083
