instance,rank,algorithm,movement_mode,scheme,runs,rpd_median,cost_median,cost_iqr,runtime_mean_seconds
scp42,2.5,BPWO,PWO,S2-ELIT,31,2.34375,524.0,0.0,4.060966936886431
scp42,2.5,ABLATION_IID,IID,V3-ELIT,31,2.34375,524.0,0.0,7.419557311872561
scp42,2.5,BPWO,PWO,V3-ELIT,31,2.34375,524.0,2.5,3.9800614299883526
scp42,2.5,BGWO,REFERENCE,V3-ELIT,31,2.34375,524.0,3.0,4.432429747235391
scp42,5.0,BPSO,REFERENCE,V3-ELIT,31,2.5390625,525.0,0.0,11.908622348155346
scp42,6.0,GREEDY,N/A,N/A,1,3.3203125,529.0,0.0,0.0038496660999953747
scp52,2.5,BPWO,PWO,S2-ELIT,31,4.304635761589404,315.0,0.0,6.077811270186137
scp52,2.5,BGWO,REFERENCE,V3-ELIT,31,4.304635761589404,315.0,0.5,6.834948481195757
scp52,2.5,BPWO,PWO,V3-ELIT,31,4.304635761589404,315.0,1.5,6.382170810454315
scp52,2.5,ABLATION_IID,IID,V3-ELIT,31,4.304635761589404,315.0,3.0,11.450354676017717
scp52,5.0,BPSO,REFERENCE,V3-ELIT,31,4.966887417218543,317.0,4.0,18.683692176090254
scp52,6.0,GREEDY,N/A,N/A,1,9.271523178807946,330.0,0.0,0.004537417087703943
scp62,2.5,BPWO,PWO,V3-ELIT,31,1.36986301369863,148.0,0.0,3.555785978588486
scp62,2.5,BGWO,REFERENCE,V3-ELIT,31,1.36986301369863,148.0,0.0,3.8836712608444355
scp62,2.5,ABLATION_IID,IID,V3-ELIT,31,1.36986301369863,148.0,0.0,5.9846852366632275
scp62,2.5,BPWO,PWO,S2-ELIT,31,1.36986301369863,148.0,3.0,3.453967704347545
scp62,5.0,BPSO,REFERENCE,V3-ELIT,31,2.0547945205479454,149.0,1.0,8.053129565902054
scp62,6.0,GREEDY,N/A,N/A,1,6.8493150684931505,156.0,0.0,0.0018005832098424435
scpa2,3.0,BPWO,PWO,S2-ELIT,31,2.380952380952381,258.0,0.0,12.683094751405259
