instance,algorithm,movement_mode,scheme,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scp42,ABLATION_IID,IID,V3-ELIT,0,10,6000,6000,393,524.0,2.34375,True,0.0016666666666666668,286480,57720,7.127557958010584,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,1,10,6000,6000,4861,524.0,2.34375,True,0.0016666666666666668,284623,56749,7.115200084168464,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,10,10,6000,6000,780,524.0,2.34375,True,0.0016666666666666668,285937,57472,7.726862667128444,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,11,10,6000,6000,510,524.0,2.34375,True,0.0016666666666666668,285995,57697,7.679520625155419,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,12,10,6000,6000,3917,524.0,2.34375,True,0.0016666666666666668,285108,56926,7.129175124689937,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,13,10,6000,6000,621,524.0,2.34375,True,0.0016666666666666668,286134,57662,7.158186917193234,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,14,10,6000,6000,435,521.0,1.7578125,True,0.0016666666666666668,289613,58726,7.183685957919806,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,15,10,6000,6000,438,514.0,0.390625,True,0.0016666666666666668,289266,59928,7.2464423342607915,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,16,10,6000,6000,134,522.0,1.953125,True,0.0016666666666666668,286598,58432,6.733394999988377,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,17,10,6000,6000,3355,524.0,2.34375,True,0.0016666666666666668,286138,57169,6.735351958312094,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,18,10,6000,6000,1763,524.0,2.34375,True,0.0016666666666666668,286233,57522,6.726981332991272,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,19,10,6000,6000,635,524.0,2.34375,True,0.0016666666666666668,286567,57785,6.807105707935989,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,2,10,6000,6000,899,524.0,2.34375,True,0.0016666666666666668,286279,57505,7.187169250100851,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,20,10,6000,6000,556,524.0,2.34375,True,0.0015,286110,57459,6.748089291621,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,21,10,6000,6000,4838,514.0,0.390625,True,0.0016666666666666668,287062,58606,7.193103000055999,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,22,10,6000,6000,512,524.0,2.34375,True,0.0016666666666666668,286201,57531,7.1418792912736535,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,23,10,6000,6000,5331,524.0,2.34375,True,0.0016666666666666668,285122,56539,7.152759834192693,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,24,10,6000,6000,1624,524.0,2.34375,True,0.0016666666666666668,286303,57574,7.584642415866256,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,25,10,6000,6000,2710,520.0,1.5625,True,0.0016666666666666668,285190,57278,7.577981083653867,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,26,10,6000,6000,3590,524.0,2.34375,True,0.0016666666666666668,285645,57263,7.617058792151511,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,27,10,6000,6000,779,524.0,2.34375,True,0.0015,285317,57221,7.596476499922574,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,28,10,6000,6000,3065,524.0,2.34375,True,0.0015,285167,56879,8.13016604213044,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,29,10,6000,6000,5000,524.0,2.34375,True,0.0016666666666666668,285023,56725,8.170938499737531,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,3,10,6000,6000,1979,524.0,2.34375,True,0.0016666666666666668,285936,57197,7.177958707790822,3.13.15,2.5.1,test,small,optimum
scp42,ABLATION_IID,IID,V3-ELIT,30,10,6000,6000,754,524.0,2.34375,True,0.0016666666666666668,286381,57866,8.187852916773409,3.13.15,2.5.1,test,small,optimum
