instance,role,scale,reference_type,algorithm,movement_mode,scheme,runs,cost_best,cost_mean,cost_std,cost_median,cost_q1,cost_q3,cost_iqr,cost_worst,rpd_mean,rpd_median,feasible_rate,runtime_mean_seconds,best_evaluation_median,added_per_evaluation_mean,removed_per_evaluation_mean
scp42,test,small,optimum,ABLATION_IID,IID,V3-ELIT,31,514.0,522.9354838709677,2.64493835934435,524.0,524.0,524.0,0.0,524.0,2.135836693548387,2.34375,1.0,7.419557311872561,905.0,47.68514516129032,9.592376344086022
scp42,test,small,optimum,BGWO,REFERENCE,V3-ELIT,31,514.0,522.6774193548387,2.737238228265777,524.0,521.0,524.0,3.0,525.0,2.0854334677419355,2.34375,1.0,4.432429747235391,1592.0,24.903112903225807,5.344704301075269
scp42,test,small,optimum,BPSO,REFERENCE,V3-ELIT,31,525.0,525.0645161290323,0.3592106040535498,525.0,525.0,525.0,0.0,527.0,2.551663306451613,2.5390625,1.0,11.908622348155346,41.0,78.19388709677419,16.204
scp42,test,small,optimum,BPWO,PWO,S2-ELIT,31,514.0,522.9032258064516,3.123617973970541,524.0,524.0,524.0,0.0,525.0,2.1295362903225805,2.34375,1.0,4.060966936886431,758.0,21.800155913978497,4.874064516129033
scp42,test,small,optimum,BPWO,PWO,V3-ELIT,31,514.0,522.483870967742,3.020716998130692,524.0,521.5,524.0,2.5,525.0,2.047631048387097,2.34375,1.0,3.9800614299883526,1156.0,23.729559139784943,5.239145161290322
scp42,test,small,optimum,GREEDY,N/A,N/A,1,529.0,529.0,0.0,529.0,529.0,529.0,0.0,529.0,3.3203125,3.3203125,1.0,0.0038496660999953747,1.0,81.0,15.0
scp52,test,small,optimum,ABLATION_IID,IID,V3-ELIT,31,312.0,315.741935483871,1.825152814341562,315.0,315.0,318.0,3.0,318.0,4.550309762871182,4.304635761589404,1.0,11.450354676017717,123.0,46.27342473118279,8.457456989247312
scp52,test,small,optimum,BGWO,REFERENCE,V3-ELIT,31,310.0,314.51612903225805,1.6506759775303266,315.0,314.5,315.0,0.5,318.0,4.144413586840419,4.304635761589404,1.0,6.834948481195757,98.0,24.632403225806453,5.609462365591399
scp52,test,small,optimum,BPSO,REFERENCE,V3-ELIT,31,315.0,317.258064516129,2.529397055103368,317.0,315.0,319.0,4.0,323.0,5.0523392437513355,4.966887417218543,1.0,18.683692176090254,97.0,69.66640860215054,12.014892473118278
scp52,test,small,optimum,BPWO,PWO,S2-ELIT,31,308.0,314.96774193548384,2.213351470323409,315.0,315.0,315.0,0.0,319.0,4.293954283272805,4.304635761589404,1.0,6.077811270186137,139.0,21.51963440860215,5.052908602150537
scp52,test,small,optimum,BPWO,PWO,V3-ELIT,31,308.0,314.38709677419354,2.092485274417938,315.0,313.5,315.0,1.5,318.0,4.101687673574023,4.304635761589404,1.0,6.382170810454315,153.0,23.455053763440862,5.393327956989247
scp52,test,small,optimum,GREEDY,N/A,N/A,1,330.0,330.0,0.0,330.0,330.0,330.0,0.0,330.0,9.271523178807946,9.271523178807946,1.0,0.004537417087703943,1.0,76.0,8.0
scp62,test,small,optimum,ABLATION_IID,IID,V3-ELIT,31,146.0,147.67741935483872,0.747756501105966,148.0,148.0,148.0,0.0,148.0,1.1489173663278833,1.36986301369863,1.0,5.9846852366632275,227.0,27.22484946236559,4.945408602150538
scp62,test,small,optimum,BGWO,REFERENCE,V3-ELIT,31,146.0,148.25806451612902,1.1537689524765886,148.0,148.0,148.0,0.0,151.0,1.5466195315952274,1.36986301369863,1.0,3.8836712608444355,201.0,14.362908602150537,3.2413655913978494
scp62,test,small,optimum,BPSO,REFERENCE,V3-ELIT,31,146.0,148.51612903225808,1.3132902127084094,149.0,148.0,149.0,1.0,153.0,1.723376049491825,2.0547945205479454,1.0,8.053129565902054,357.0,37.13983870967742,6.729930107526882
scp62,test,small,optimum,BPWO,PWO,S2-ELIT,31,146.0,149.1290322580645,1.8026265186087211,148.0,148.0,151.0,3.0,153.0,2.143172779496244,1.36986301369863,1.0,3.453967704347545,145.0,12.716451612903224,3.0643279569892474
scp62,test,small,optimum,BPWO,PWO,V3-ELIT,31,146.0,148.58064516129033,1.478156364042431,148.0,148.0,148.0,0.0,153.0,1.7675651789659743,1.36986301369863,1.0,3.555785978588486,287.0,13.733338709677419,3.1996612903225805
scp62,test,small,optimum,GREEDY,N/A,N/A,1,156.0,156.0,0.0,156.0,156.0,156.0,0.0,156.0,6.8493150684931505,6.8493150684931505,1.0,0.0018005832098424435,1.0,46.0,6.0
scpa2,test,medium,optimum,ABLATION_IID,IID,V3-ELIT,31,254.0,257.35483870967744,1.495513002211932,258.0,258.0,258.0,0.0,258.0,2.124935995903738,2.380952380952381,1.0,22.02151092610532,114.0,50.846672043010756,7.66247311827957
scpa2,test,medium,optimum,BGWO,REFERENCE,V3-ELIT,31,254.0,257.258064516129,1.2101719419290211,258.0,256.0,258.0,2.0,258.0,2.0865335381464414,2.380952380952381,1.0,13.702780697599895,383.0,26.83655376344086,5.446112903225806
scpa2,test,medium,optimum,BPSO,REFERENCE,V3-ELIT,31,258.0,258.0,0.0,258.0,258.0,258.0,0.0,258.0,2.380952380952381,2.380952380952381,1.0,34.517951600734264,100.0,78.22337096774194,10.320311827956989
scpa2,test,medium,optimum,BPWO,PWO,S2-ELIT,31,254.0,257.2903225806452,1.418768207215841,258.0,258.0,258.0,0.0,258.0,2.0993343573988734,2.380952380952381,1.0,12.683094751405259,809.0,23.34816129032258,4.977333333333333
scpa2,test,medium,optimum,BPWO,PWO,V3-ELIT,31,254.0,257.5483870967742,1.0905261628351504,258.0,258.0,258.0,0.0,258.0,2.2017409114183306,2.380952380952381,1.0,12.88752882519076,578.0,25.40866129032258,5.19118817204301
scpa2,test,medium,optimum,GREEDY,N/A,N/A,1,270.0,270.0,0.0,270.0,270.0,270.0,0.0,270.0,7.142857142857143,7.142857142857143,1.0,0.012391792144626379,1.0,88.0,7.0
scpb2,test,medium,optimum,ABLATION_IID,IID,V3-ELIT,31,76.0,76.0,0.0,76.0,76.0,76.0,0.0,76.0,0.0,0.0,1.0,18.377443806373424,40.0,27.40148387096774,5.003989247311829
scpb2,test,medium,optimum,BGWO,REFERENCE,V3-ELIT,31,76.0,76.0,0.0,76.0,76.0,76.0,0.0,76.0,0.0,0.0,1.0,12.423133782411535,70.0,14.119387096774194,3.8023924731182794
scpb2,test,medium,optimum,BPSO,REFERENCE,V3-ELIT,31,76.0,76.0,0.0,76.0,76.0,76.0,0.0,76.0,0.0,0.0,1.0,27.405396168090164,28.0,43.303623655913974,7.567521505376344
scpb2,test,medium,optimum,BPWO,PWO,S2-ELIT,31,76.0,76.06451612903226,0.3592106040535498,76.0,76.0,76.0,0.0,78.0,0.08488964346349746,0.0,1.0,11.575490219022837,58.0,12.412516129032259,3.6314247311827956
scpb2,test,medium,optimum,BPWO,PWO,V3-ELIT,31,76.0,76.0,0.0,76.0,76.0,76.0,0.0,76.0,0.0,0.0,1.0,11.861676438155794,78.0,13.516612903225806,3.7443172043010753
scpb2,test,medium,optimum,GREEDY,N/A,N/A,1,78.0,78.0,0.0,78.0,78.0,78.0,0.0,78.0,2.6315789473684212,2.6315789473684212,1.0,0.006192541681230068,1.0,47.0,5.0
scpc2,test,large,optimum,ABLATION_IID,IID,V3-ELIT,31,220.0,220.96774193548387,0.1796053020267749,221.0,221.0,221.0,0.0,221.0,0.8985122993077036,0.91324200913242,1.0,37.56610049326874,98.0,61.61201075268817,14.94028494623656
scpc2,test,large,optimum,BGWO,REFERENCE,V3-ELIT,31,220.0,221.38709677419354,1.0223313016447166,221.0,221.0,221.0,0.0,224.0,1.0899985270290176,0.91324200913242,1.0,22.877503116915545,74.0,32.74360752688172,9.653494623655913
