instance,rank,algorithm,movement_mode,scheme,runs,rpd_median,cost_median,cost_iqr,runtime_mean_seconds
scp43,1.5,BPWO_BASE,PWO,V3-ELIT,5,0.7751937984496124,520.0,0.0,7.462040708400309
scp43,1.5,BPWO_PROB,PWO,V3-ELIT,5,0.7751937984496124,520.0,0.0,7.4624016334302725
scp53,1.5,BPWO_PROB,PWO,V3-ELIT,5,2.6548672566371683,232.0,0.0,10.57922306684777
scp53,1.5,BPWO_BASE,PWO,V3-ELIT,5,2.6548672566371683,232.0,0.0,10.636745833326131
scp63,1.5,BPWO_PROB,PWO,V3-ELIT,5,2.0689655172413794,148.0,0.0,5.739146241825074
scp63,1.5,BPWO_BASE,PWO,V3-ELIT,5,2.0689655172413794,148.0,0.0,5.7528903415426615
scpa3,1.0,BPWO_BASE,PWO,V3-ELIT,5,1.293103448275862,235.0,0.0,18.054926708247514
scpa3,2.0,BPWO_PROB,PWO,V3-ELIT,5,3.0172413793103448,239.0,4.0,18.60381198329851
scpb3,1.5,BPWO_BASE,PWO,V3-ELIT,5,1.25,81.0,0.0,17.213078642077743
scpb3,1.5,BPWO_PROB,PWO,V3-ELIT,5,1.25,81.0,0.0,19.601749925035982
scpc3,1.0,BPWO_PROB,PWO,V3-ELIT,5,0.823045267489712,245.0,2.0,31.81305197486654
scpc3,2.0,BPWO_BASE,PWO,V3-ELIT,5,1.646090534979424,247.0,2.0,32.983266699872914
scpd3,1.0,BPWO_BASE,PWO,V3-ELIT,5,1.3888888888888888,73.0,1.0,30.402092699799688
scpd3,2.0,BPWO_PROB,PWO,V3-ELIT,5,2.7777777777777777,74.0,0.0,32.40797427520156
scpnre3,1.5,BPWO_BASE,PWO,V3-ELIT,5,3.7037037037037037,28.0,0.0,47.32367730010301
scpnre3,1.5,BPWO_PROB,PWO,V3-ELIT,5,3.7037037037037037,28.0,0.0,48.561478791199626
scpnrf3,1.5,BPWO_PROB,PWO,V3-ELIT,5,0.0,14.0,0.0,42.82023515850305
scpnrf3,1.5,BPWO_BASE,PWO,V3-ELIT,5,0.0,14.0,0.0,45.86761367525905
scpnrg3,1.5,BPWO_PROB,PWO,V3-ELIT,5,2.4096385542168677,170.0,1.0,139.9174524667673
scpnrg3,1.5,BPWO_BASE,PWO,V3-ELIT,5,2.4096385542168677,170.0,3.0,136.46390199167655
scpnrh3,1.5,BPWO_BASE,PWO,V3-ELIT,5,3.389830508474576,61.0,1.0,117.35459027523174
scpnrh3,1.5,BPWO_PROB,PWO,V3-ELIT,5,3.389830508474576,61.0,2.0,113.93475517462939
