instance,role,scale,reference_type,algorithm,movement_mode,scheme,runs,cost_best,cost_mean,cost_std,cost_median,cost_q1,cost_q3,cost_iqr,cost_worst,rpd_mean,rpd_median,feasible_rate,runtime_mean_seconds,best_evaluation_median,added_per_evaluation_mean,removed_per_evaluation_mean
scp43,development,small,optimum,BPWO_BASE,PWO,V3-ELIT,5,520.0,520.0,0.0,520.0,520.0,520.0,0.0,520.0,0.7751937984496124,0.7751937984496124,1.0,7.462040708400309,107.0,22.6552,4.144466666666666
scp43,development,small,optimum,BPWO_PROB,PWO,V3-ELIT,5,520.0,520.0,0.0,520.0,520.0,520.0,0.0,520.0,0.7751937984496124,0.7751937984496124,1.0,7.4624016334302725,165.0,22.735033333333334,4.1683
scp53,development,small,optimum,BPWO_BASE,PWO,V3-ELIT,5,230.0,231.6,0.8944271909999159,232.0,232.0,232.0,0.0,232.0,2.47787610619469,2.6548672566371683,1.0,10.636745833326131,52.0,21.538566666666668,4.664633333333333
scp53,development,small,optimum,BPWO_PROB,PWO,V3-ELIT,5,229.0,231.4,1.3416407864998738,232.0,232.0,232.0,0.0,232.0,2.3893805309734515,2.6548672566371683,1.0,10.57922306684777,51.0,21.575733333333332,4.662433333333333
scp63,development,small,optimum,BPWO_BASE,PWO,V3-ELIT,5,148.0,148.0,0.0,148.0,148.0,148.0,0.0,148.0,2.0689655172413794,2.0689655172413794,1.0,5.7528903415426615,105.0,12.981100000000001,2.5126666666666666
scp63,development,small,optimum,BPWO_PROB,PWO,V3-ELIT,5,148.0,148.0,0.0,148.0,148.0,148.0,0.0,148.0,2.0689655172413794,2.0689655172413794,1.0,5.739146241825074,351.0,13.0327,2.664966666666667
scpa3,development,medium,optimum,BPWO_BASE,PWO,V3-ELIT,5,235.0,235.4,0.8944271909999159,235.0,235.0,235.0,0.0,237.0,1.4655172413793103,1.293103448275862,1.0,18.054926708247514,3754.0,25.953266666666668,6.292566666666667
scpa3,development,medium,optimum,BPWO_PROB,PWO,V3-ELIT,5,235.0,237.6,2.4083189157584592,239.0,235.0,239.0,4.0,240.0,2.413793103448276,3.0172413793103448,1.0,18.60381198329851,4591.0,26.309433333333335,6.471966666666667
scpb3,development,medium,optimum,BPWO_BASE,PWO,V3-ELIT,5,81.0,81.0,0.0,81.0,81.0,81.0,0.0,81.0,1.25,1.25,1.0,17.213078642077743,62.0,13.656333333333333,3.204066666666667
scpb3,development,medium,optimum,BPWO_PROB,PWO,V3-ELIT,5,81.0,81.0,0.0,81.0,81.0,81.0,0.0,81.0,1.25,1.25,1.0,19.601749925035982,144.0,13.656666666666666,3.2188333333333334
scpc3,development,large,optimum,BPWO_BASE,PWO,V3-ELIT,5,244.0,246.2,1.6431676725154984,247.0,245.0,247.0,2.0,248.0,1.316872427983539,1.646090534979424,1.0,32.983266699872914,386.0,27.670499999999997,6.0511
scpc3,development,large,optimum,BPWO_PROB,PWO,V3-ELIT,5,244.0,245.2,1.3038404810405297,245.0,244.0,246.0,2.0,247.0,0.9053497942386832,0.823045267489712,1.0,31.81305197486654,901.0,27.743600000000004,6.394066666666666
scpd3,development,large,optimum,BPWO_BASE,PWO,V3-ELIT,5,72.0,73.2,0.8366600265340756,73.0,73.0,74.0,1.0,74.0,1.6666666666666665,1.3888888888888888,1.0,30.402092699799688,144.0,15.972333333333333,5.535666666666667
scpd3,development,large,optimum,BPWO_PROB,PWO,V3-ELIT,5,73.0,74.0,0.7071067811865476,74.0,74.0,74.0,0.0,75.0,2.7777777777777777,2.7777777777777777,1.0,32.40797427520156,176.0,16.003800000000002,5.476833333333333
scpnre3,development,large,optimum,BPWO_BASE,PWO,V3-ELIT,5,27.0,27.8,0.4472135954999579,28.0,28.0,28.0,0.0,28.0,2.962962962962963,3.7037037037037037,1.0,47.32367730010301,51.0,7.955766666666666,4.270133333333334
scpnre3,development,large,optimum,BPWO_PROB,PWO,V3-ELIT,5,27.0,27.8,0.4472135954999579,28.0,28.0,28.0,0.0,28.0,2.962962962962963,3.7037037037037037,1.0,48.561478791199626,105.0,8.145399999999999,4.381466666666666
scpnrf3,development,large,optimum,BPWO_BASE,PWO,V3-ELIT,5,14.0,14.2,0.4472135954999579,14.0,14.0,14.0,0.0,15.0,1.4285714285714286,0.0,1.0,45.86761367525905,88.0,4.6818,4.288766666666667
scpnrf3,development,large,optimum,BPWO_PROB,PWO,V3-ELIT,5,14.0,14.0,0.0,14.0,14.0,14.0,0.0,14.0,0.0,0.0,1.0,42.82023515850305,969.0,4.679399999999999,4.300666666666666
scpnrg3,development,very_large,best_known,BPWO_BASE,PWO,V3-ELIT,5,168.0,170.0,2.1213203435596424,170.0,168.0,171.0,3.0,173.0,2.4096385542168677,2.4096385542168677,1.0,136.46390199167655,2304.0,39.02596666666666,12.636199999999999
scpnrg3,development,very_large,best_known,BPWO_PROB,PWO,V3-ELIT,5,168.0,169.6,1.140175425099138,170.0,169.0,170.0,1.0,171.0,2.1686746987951806,2.4096385542168677,1.0,139.9174524667673,1164.0,38.6583,12.629333333333332
scpnrh3,development,very_large,best_known,BPWO_BASE,PWO,V3-ELIT,5,60.0,61.2,0.8366600265340756,61.0,61.0,62.0,1.0,62.0,3.7288135593220337,3.389830508474576,1.0,117.35459027523174,429.0,17.85696666666667,9.018533333333334
scpnrh3,development,very_large,best_known,BPWO_PROB,PWO,V3-ELIT,5,60.0,61.0,1.0,61.0,60.0,62.0,2.0,62.0,3.3898305084745757,3.389830508474576,1.0,113.93475517462939,2676.0,17.99386666666667,9.073566666666668
