instance,algorithm,movement_mode,scheme,rally_mode,binarization_input,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scp43,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,0,10,6000,6000,83,520.0,0.7751937984496124,True,0.0016666666666666668,135996,24947,7.487466792110354,3.13.15,2.5.1,development,small,optimum
scp43,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,1,10,6000,6000,107,520.0,0.7751937984496124,True,0.0016666666666666668,136176,24920,7.552676583174616,3.13.15,2.5.1,development,small,optimum
scp43,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,2,10,6000,6000,117,520.0,0.7751937984496124,True,0.0016666666666666668,135887,24838,7.567469749599695,3.13.15,2.5.1,development,small,optimum
scp43,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,3,10,6000,6000,83,520.0,0.7751937984496124,True,0.0016666666666666668,135826,24746,7.502344625070691,3.13.15,2.5.1,development,small,optimum
scp43,BPWO_BASE,PWO,V3-ELIT,THRESHOLD,POSITION,4,10,6000,6000,132,520.0,0.7751937984496124,True,0.0016666666666666668,135771,24883,7.200245792046189,3.13.15,2.5.1,development,small,optimum
scp43,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,0,10,6000,6000,76,520.0,0.7751937984496124,True,0.0016666666666666668,135633,24861,7.475869374815375,3.13.15,2.5.1,development,small,optimum
scp43,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,1,10,6000,6000,165,520.0,0.7751937984496124,True,0.0016666666666666668,136620,25006,7.491774042136967,3.13.15,2.5.1,development,small,optimum
scp43,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,2,10,6000,6000,385,520.0,0.7751937984496124,True,0.0016666666666666668,136685,25118,7.52185674989596,3.13.15,2.5.1,development,small,optimum
scp43,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,3,10,6000,6000,133,520.0,0.7751937984496124,True,0.0016666666666666668,136555,24861,7.489631125237793,3.13.15,2.5.1,development,small,optimum
scp43,BPWO_PROB,PWO,V3-ELIT,PROBABILISTIC,POSITION,4,10,6000,6000,172,520.0,0.7751937984496124,True,0.0016666666666666668,136558,25203,7.332876875065267,3.13.15,2.5.1,development,small,optimum
