instance,role,scale,algorithm,movement_mode,scheme,runs,final_diversity_median,minimum_diversity_median,trajectory_diversity_median,exploitation_rate_median,restart_rate_median,initially_feasible_rate_mean,added_per_iteration_mean,removed_per_iteration_mean
scp43,development,small,BPWO_BASE,PWO,V3-ELIT,3,0.0,0.0,0.0007199999999999999,0.6206896551724138,0.0,0.0,235.66666666666666,39.37931034482759
scp43,development,small,BPWO_DELTA,PWO,V3-COMP,3,0.0,0.0,0.0,0.7241379310344828,0.0,0.7528735632183908,16.82758620689655,18.666666666666668
scp43,development,small,BPWO_DELTA_PROB,PWO,V3-COMP,3,0.0,0.0,0.0,0.5517241379310345,0.0,0.7494252873563219,16.896551724137932,20.080459770114942
scp43,development,small,BPWO_PROB,PWO,V3-ELIT,3,0.0,0.0,0.0,0.4482758620689655,0.0,0.0,232.58620689655172,39.51724137931035
scp53,development,small,BPWO_BASE,PWO,V3-ELIT,3,0.00047999999999999996,0.0,0.0005,0.7931034482758621,0.0,0.0,220.09195402298852,34.149425287356316
scp53,development,small,BPWO_DELTA,PWO,V3-COMP,3,0.0,0.0,0.0,0.7241379310344828,0.0,0.7540229885057471,15.482758620689657,17.551724137931036
scp53,development,small,BPWO_DELTA_PROB,PWO,V3-COMP,3,0.0,0.0,0.0,0.4827586206896552,0.0,0.7379310344827585,16.379310344827587,19.344827586206893
scp53,development,small,BPWO_PROB,PWO,V3-ELIT,3,0.0005,0.0,0.0006000000000000001,0.4827586206896552,0.0,0.0,217.58620689655172,33.11494252873563
scp63,development,small,BPWO_BASE,PWO,V3-ELIT,3,0.0007199999999999999,0.0,0.00035999999999999997,0.8275862068965517,0.0,0.0,133.2758620689655,20.333333333333332
scp63,development,small,BPWO_DELTA,PWO,V3-COMP,3,0.0,0.0,0.0,0.7931034482758621,0.0,0.8218390804597702,8.689655172413794,9.942528735632186
scp63,development,small,BPWO_DELTA_PROB,PWO,V3-COMP,3,0.0,0.0,0.0,0.5517241379310345,0.0,0.8011494252873564,9.827586206896552,10.344827586206897
scp63,development,small,BPWO_PROB,PWO,V3-ELIT,3,0.0,0.0,0.0,0.4827586206896552,0.0,0.0,134.19540229885058,18.18390804597701
scpa3,development,medium,BPWO_BASE,PWO,V3-ELIT,3,0.0004533333333333333,0.00011999999999999999,0.0004533333333333333,0.6896551724137931,0.0,0.0,270.5057471264368,44.42528735632184
scpa3,development,medium,BPWO_DELTA,PWO,V3-COMP,3,0.0,0.0,0.0,0.7241379310344828,0.0,0.7528735632183908,18.919540229885058,22.597701149425287
scpa3,development,medium,BPWO_DELTA_PROB,PWO,V3-COMP,3,0.0,0.0,0.0,0.4482758620689655,0.0,0.7436781609195403,20.551724137931036,22.505747126436784
scpa3,development,medium,BPWO_PROB,PWO,V3-ELIT,3,0.00011999999999999999,0.0,0.0005466666666666667,0.41379310344827586,0.0,0.0,264.11494252873564,39.735632183908045
scpb3,development,medium,BPWO_BASE,PWO,V3-ELIT,3,0.0,0.0,0.0,0.7931034482758621,0.0,0.0,136.19540229885058,9.126436781609195
scpb3,development,medium,BPWO_DELTA,PWO,V3-COMP,3,0.0,0.0,0.0,0.7931034482758621,0.0,0.8172413793103449,9.540229885057473,10.620689655172415
scpb3,development,medium,BPWO_DELTA_PROB,PWO,V3-COMP,3,0.0,0.0,0.0007266666666666667,0.3793103448275862,0.0,0.6839080459770116,13.93103448275862,14.793103448275863
scpb3,development,medium,BPWO_PROB,PWO,V3-ELIT,3,0.0,0.0,0.0,0.4482758620689655,0.0,0.0,139.3793103448276,9.149425287356323
scpc3,development,large,BPWO_BASE,PWO,V3-ELIT,3,0.00017999999999999998,8.999999999999999e-05,0.00048499999999999997,0.6206896551724138,0.0,0.0,288.1954022988505,33.4367816091954
scpc3,development,large,BPWO_DELTA,PWO,V3-COMP,3,0.0,0.0,0.0,0.6551724137931034,0.0,0.6563218390804598,28.528735632183906,31.896551724137932
scpc3,development,large,BPWO_DELTA_PROB,PWO,V3-COMP,3,0.0,0.0,0.0,0.5172413793103449,0.0,0.7218390804597702,25.137931034482758,27.17241379310345
