instance,rank,algorithm,movement_mode,scheme,runs,rpd_median,cost_median,cost_iqr,runtime_mean_seconds
scp43,1.5,BPWO_PROB,PWO,V3-ELIT,3,0.7751937984496124,520.0,0.0,0.4594681113958359
scp43,1.5,BPWO_BASE,PWO,V3-ELIT,3,0.7751937984496124,520.0,0.0,0.5816798054923614
scp43,3.0,BPWO_DELTA_PROB,PWO,V3-COMP,3,5.038759689922481,542.0,7.5,0.29842519434168935
scp43,4.0,BPWO_DELTA,PWO,V3-COMP,3,8.720930232558139,561.0,13.5,0.2385185407474637
scp53,2.0,BPWO_PROB,PWO,V3-ELIT,3,2.6548672566371683,232.0,1.5,0.6508143752192458
scp53,2.0,BPWO_BASE,PWO,V3-ELIT,3,2.6548672566371683,232.0,1.5,0.7141260694091519
scp53,2.0,BPWO_DELTA,PWO,V3-COMP,3,2.6548672566371683,232.0,6.5,0.4259859165176749
scp53,4.0,BPWO_DELTA_PROB,PWO,V3-COMP,3,5.3097345132743365,238.0,10.5,0.389887485653162
scp63,1.5,BPWO_PROB,PWO,V3-ELIT,3,2.0689655172413794,148.0,1.5,0.3643554860415558
scp63,1.5,BPWO_BASE,PWO,V3-ELIT,3,2.0689655172413794,148.0,1.5,0.3855588886265953
scp63,3.5,BPWO_DELTA,PWO,V3-COMP,3,3.4482758620689653,150.0,1.0,0.22985340282320976
scp63,3.5,BPWO_DELTA_PROB,PWO,V3-COMP,3,3.4482758620689653,150.0,1.5,0.21659827760110298
scpa3,1.0,BPWO_PROB,PWO,V3-ELIT,3,3.0172413793103448,239.0,0.5,1.6449679438956082
scpa3,2.0,BPWO_BASE,PWO,V3-ELIT,3,3.4482758620689653,240.0,0.0,1.2481395138117175
scpa3,3.0,BPWO_DELTA_PROB,PWO,V3-COMP,3,5.603448275862069,245.0,9.5,0.8365405417668322
scpa3,4.0,BPWO_DELTA,PWO,V3-COMP,3,6.4655172413793105,247.0,2.5,0.803561097321411
scpb3,1.5,BPWO_BASE,PWO,V3-ELIT,3,1.25,81.0,0.0,1.0787356390307348
scpb3,1.5,BPWO_PROB,PWO,V3-ELIT,3,1.25,81.0,0.5,1.2047406666291256
scpb3,3.0,BPWO_DELTA_PROB,PWO,V3-COMP,3,2.5,82.0,0.5,0.7690738056165477
scpb3,4.0,BPWO_DELTA,PWO,V3-COMP,3,3.75,83.0,5.0,0.8196179723987976
scpc3,1.5,BPWO_PROB,PWO,V3-ELIT,3,1.646090534979424,247.0,1.0,1.8460395556564133
scpc3,1.5,BPWO_BASE,PWO,V3-ELIT,3,1.646090534979424,247.0,2.5,1.8208887216945489
scpc3,3.0,BPWO_DELTA_PROB,PWO,V3-COMP,3,4.11522633744856,253.0,5.0,1.2487233749901254
scpc3,4.0,BPWO_DELTA,PWO,V3-COMP,3,6.584362139917696,259.0,3.5,1.2399674579501152
scpd3,1.0,BPWO_BASE,PWO,V3-ELIT,3,1.3888888888888888,73.0,1.0,1.6248252084478736
scpd3,2.0,BPWO_PROB,PWO,V3-ELIT,3,2.7777777777777777,74.0,1.0,1.6987117637569706
scpd3,3.5,BPWO_DELTA,PWO,V3-COMP,3,5.555555555555555,76.0,1.5,1.188889027883609
scpd3,3.5,BPWO_DELTA_PROB,PWO,V3-COMP,3,5.555555555555555,76.0,2.0,1.2569403333278995
scpnre3,2.0,BPWO_BASE,PWO,V3-ELIT,3,3.7037037037037037,28.0,0.0,2.3552897504220405
scpnre3,2.0,BPWO_PROB,PWO,V3-ELIT,3,3.7037037037037037,28.0,0.5,2.4494021808107695
scpnre3,2.0,BPWO_DELTA_PROB,PWO,V3-COMP,3,3.7037037037037037,28.0,1.5,2.073040305481603
scpnre3,4.0,BPWO_DELTA,PWO,V3-COMP,3,7.407407407407407,29.0,0.0,2.1938189859502017
scpnrf3,1.0,BPWO_BASE,PWO,V3-ELIT,3,0.0,14.0,0.5,2.294047013235589
scpnrf3,2.5,BPWO_DELTA_PROB,PWO,V3-COMP,3,7.142857142857143,15.0,0.5,1.9655836666934192
scpnrf3,2.5,BPWO_PROB,PWO,V3-ELIT,3,7.142857142857143,15.0,0.5,2.440001125137011
scpnrf3,4.0,BPWO_DELTA,PWO,V3-COMP,3,14.285714285714286,16.0,1.0,2.0038341803786657
scpnrg3,1.0,BPWO_PROB,PWO,V3-ELIT,3,2.4096385542168677,170.0,0.0,8.027960347011685
scpnrg3,2.0,BPWO_BASE,PWO,V3-ELIT,3,3.6144578313253013,172.0,2.0,9.525778596910337
scpnrg3,3.0,BPWO_DELTA_PROB,PWO,V3-COMP,3,6.024096385542169,176.0,7.0,7.938591305942585
scpnrg3,4.0,BPWO_DELTA,PWO,V3-COMP,3,7.228915662650603,178.0,1.0,7.544775236242761
scpnrh3,1.5,BPWO_PROB,PWO,V3-ELIT,3,5.084745762711864,62.0,1.0,6.840767792115609
scpnrh3,1.5,BPWO_BASE,PWO,V3-ELIT,3,5.084745762711864,62.0,1.0,8.406515500353029
scpnrh3,3.0,BPWO_DELTA_PROB,PWO,V3-COMP,3,8.474576271186441,64.0,3.0,6.580572152665506
scpnrh3,4.0,BPWO_DELTA,PWO,V3-COMP,3,10.169491525423728,65.0,1.0,6.286868138704449
