instance,role,scale,reference_type,algorithm,movement_mode,scheme,runs,cost_best,cost_mean,cost_std,cost_median,cost_q1,cost_q3,cost_iqr,cost_worst,rpd_mean,rpd_median,feasible_rate,runtime_mean_seconds,best_evaluation_median,added_per_evaluation_mean,removed_per_evaluation_mean
scp43,development,small,optimum,BPWO_BASE,PWO,V3-ELIT,3,520.0,520.0,0.0,520.0,520.0,520.0,0.0,520.0,0.7751937984496124,0.7751937984496124,1.0,0.5816798054923614,246.0,22.781111111111112,18.012222222222224
scp43,development,small,optimum,BPWO_DELTA,PWO,V3-COMP,3,543.0,558.0,13.74772708486752,561.0,552.0,565.5,13.5,570.0,8.13953488372093,8.720930232558139,1.0,0.2385185407474637,100.0,1.6266666666666667,16.01
scp43,development,small,optimum,BPWO_DELTA_PROB,PWO,V3-COMP,3,528.0,537.6666666666666,8.386497083606082,542.0,535.0,542.5,7.5,543.0,4.198966408268734,5.038759689922481,1.0,0.29842519434168935,86.0,1.6333333333333335,16.146666666666665
scp43,development,small,optimum,BPWO_PROB,PWO,V3-ELIT,3,520.0,520.0,0.0,520.0,520.0,520.0,0.0,520.0,0.7751937984496124,0.7751937984496124,1.0,0.4594681113958359,73.0,22.483333333333334,18.025555555555556
scp53,development,small,optimum,BPWO_BASE,PWO,V3-ELIT,3,229.0,231.0,1.7320508075688772,232.0,230.5,232.0,1.5,232.0,2.2123893805309733,2.6548672566371683,1.0,0.7141260694091519,52.0,21.275555555555556,34.32888888888889
scp53,development,small,optimum,BPWO_DELTA,PWO,V3-COMP,3,230.0,235.0,7.0,232.0,231.0,237.5,6.5,243.0,3.982300884955752,2.6548672566371683,1.0,0.4259859165176749,83.0,1.4966666666666668,32.724444444444444
scp53,development,small,optimum,BPWO_DELTA_PROB,PWO,V3-COMP,3,229.0,239.0,10.535653752852738,238.0,233.5,244.0,10.5,250.0,5.7522123893805315,5.3097345132743365,1.0,0.389887485653162,71.0,1.5833333333333333,32.897777777777776
scp53,development,small,optimum,BPWO_PROB,PWO,V3-ELIT,3,229.0,231.0,1.7320508075688772,232.0,230.5,232.0,1.5,232.0,2.2123893805309733,2.6548672566371683,1.0,0.6508143752192458,51.0,21.033333333333335,34.22888888888889
scp63,development,small,optimum,BPWO_BASE,PWO,V3-ELIT,3,148.0,149.0,1.7320508075688772,148.0,148.0,149.5,1.5,151.0,2.7586206896551726,2.0689655172413794,1.0,0.3855588886265953,49.0,12.883333333333335,17.154444444444444
scp63,development,small,optimum,BPWO_DELTA,PWO,V3-COMP,3,150.0,150.66666666666666,1.1547005383792515,150.0,150.0,151.0,1.0,152.0,3.908045977011494,3.4482758620689653,1.0,0.22985340282320976,53.0,0.84,16.150000000000002
