algoritmo,instancia,columnas,podadas_por_evaluacion,razon_por_dimension
ALPHA_S1,scp41,1000,7.11,0.007107
ALPHA_S1,scp51,2000,14.73,0.007367
ALPHA_S1,scp61,1000,7.29,0.007288
ALPHA_S1,scpa1,3000,22.29,0.00743
ALPHA_S1,scpb1,3000,22.49,0.007497
ALPHA_S1,scpc1,4000,29.76,0.007439
ALPHA_S1,scpd1,4000,29.98,0.007495
ALPHA_S1,scpnre1,5000,37.88,0.007576
ALPHA_S1,scpnrf1,5000,38.17,0.007635
ALPHA_S1,scpnrg1,10000,75.13,0.007513
ALPHA_S1,scpnrh1,10000,75.79,0.007579
BPWO_ANCHOR,scp41,1000,0.45,0.00045
BPWO_ANCHOR,scp51,2000,0.78,0.00039
BPWO_ANCHOR,scp61,1000,0.41,0.000408
BPWO_ANCHOR,scpa1,3000,1.11,0.000372
BPWO_ANCHOR,scpb1,3000,1.08,0.00036
BPWO_ANCHOR,scpc1,4000,1.49,0.000373
BPWO_ANCHOR,scpd1,4000,1.42,0.000355
BPWO_ANCHOR,scpnre1,5000,1.72,0.000344
BPWO_ANCHOR,scpnrf1,5000,1.71,0.000342
BPWO_ANCHOR,scpnrg1,10000,3.65,0.000365
BPWO_ANCHOR,scpnrh1,10000,3.58,0.000358
BPWO_BASE,scp41,1000,3.46,0.003457
BPWO_BASE,scp51,2000,3.02,0.00151
BPWO_BASE,scp61,1000,2.05,0.002054
BPWO_BASE,scpa1,3000,4.78,0.001595
BPWO_BASE,scpb1,3000,0.76,0.000253
BPWO_BASE,scpc1,4000,4.88,0.00122
BPWO_BASE,scpd1,4000,2.34,0.000584
BPWO_BASE,scpnre1,5000,0.32,6.3e-05
BPWO_BASE,scpnrf1,5000,0.07,1.4e-05
BPWO_BASE,scpnrg1,10000,5.24,0.000524
BPWO_BASE,scpnrh1,10000,1.3,0.00013
BPWO_RALLY,scp41,1000,3.46,0.003457
BPWO_RALLY,scp51,2000,2.94,0.001471
BPWO_RALLY,scp61,1000,2.03,0.002034
BPWO_RALLY,scpa1,3000,4.7,0.001566
BPWO_RALLY,scpb1,3000,1.07,0.000358
BPWO_RALLY,scpc1,4000,4.9,0.001224
BPWO_RALLY,scpd1,4000,2.28,0.000569
BPWO_RALLY,scpnre1,5000,0.32,6.4e-05
BPWO_RALLY,scpnrf1,5000,0.07,1.3e-05
BPWO_RALLY,scpnrg1,10000,5.03,0.000503
BPWO_RALLY,scpnrh1,10000,1.23,0.000123
BPWO_S2_STD,scp41,1000,231.54,0.231537
BPWO_S2_STD,scp51,2000,501.58,0.250789
BPWO_S2_STD,scp61,1000,247.14,0.247135
BPWO_S2_STD,scpa1,3000,763.37,0.254457
BPWO_S2_STD,scpb1,3000,782.06,0.260688
BPWO_S2_STD,scpc1,4000,1027.38,0.256844
BPWO_S2_STD,scpd1,4000,1048.48,0.262119
BPWO_S2_STD,scpnre1,5000,1326.96,0.265393
BPWO_S2_STD,scpnrf1,5000,1334.12,0.266825
BPWO_S2_STD,scpnrg1,10000,2622.41,0.262241
BPWO_S2_STD,scpnrh1,10000,2654.11,0.265411
BPWO_V3_COMP,scp41,1000,605.86,0.605859
BPWO_V3_COMP,scp51,2000,1318.35,0.659175
BPWO_V3_COMP,scp61,1000,650.79,0.65079
BPWO_V3_COMP,scpa1,3000,2007.59,0.669198
BPWO_V3_COMP,scpb1,3000,2058.5,0.686166
BPWO_V3_COMP,scpc1,4000,2700.98,0.675245
BPWO_V3_COMP,scpd1,4000,2759.24,0.68981
BPWO_V3_COMP,scpnre1,5000,3492.08,0.698416
BPWO_V3_COMP,scpnrf1,5000,3511.0,0.7022
BPWO_V3_COMP,scpnrg1,10000,6895.74,0.689574
BPWO_V3_COMP,scpnrh1,10000,6981.25,0.698125
