instance,algorithm,movement_mode,scheme,degenerate_cohesion,latent_amplitude,bound,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scp41,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,0,10,6000,6000,4811,685.0,59.67365967365967,True,0.7888333333333334,1439,1393151,6.407011333008995,3.14.0,2.5.2,calibration,small,optimum
scp41,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,1,10,6000,6000,5696,669.0,55.94405594405595,True,0.7803333333333333,1527,1392006,6.399240083002951,3.14.0,2.5.2,calibration,small,optimum
scp41,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,2,10,6000,6000,5764,669.0,55.94405594405595,True,0.7825,1483,1392724,6.316529584000818,3.14.0,2.5.2,calibration,small,optimum
scp41,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,3,10,6000,6000,4854,702.0,63.63636363636363,True,0.771,1560,1388816,6.351090666983509,3.14.0,2.5.2,calibration,small,optimum
scp41,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,4,10,6000,6000,2400,742.0,72.96037296037296,True,0.796,1397,1389121,6.440875708998647,3.14.0,2.5.2,calibration,small,optimum
scp41,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,0,10,6000,6000,1945,677.0,57.80885780885781,True,1.0,0,3635525,11.48767412500456,3.14.0,2.5.2,calibration,small,optimum
scp41,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,1,10,6000,6000,2853,680.0,58.50815850815851,True,0.9996666666666667,2,3635032,11.288055708981119,3.14.0,2.5.2,calibration,small,optimum
scp41,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,2,10,6000,6000,3283,658.0,53.37995337995338,True,1.0,0,3632816,11.494514666992472,3.14.0,2.5.2,calibration,small,optimum
scp41,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,3,10,6000,6000,4591,653.0,52.214452214452216,True,1.0,0,3631835,11.64620700001251,3.14.0,2.5.2,calibration,small,optimum
scp41,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,4,10,6000,6000,2890,645.0,50.34965034965035,True,1.0,0,3631550,11.470986290980363,3.14.0,2.5.2,calibration,small,optimum
scp51,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,0,10,6000,6000,5126,355.0,40.316205533596836,True,0.999,6,3013533,12.012328416021774,3.14.0,2.5.2,calibration,small,optimum
scp51,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,1,10,6000,6000,5863,368.0,45.45454545454545,True,0.9995,3,3013624,12.423764457984362,3.14.0,2.5.2,calibration,small,optimum
scp51,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,2,10,6000,6000,4885,337.0,33.201581027667984,True,0.9985,9,3011508,12.303918417019304,3.14.0,2.5.2,calibration,small,optimum
scp51,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,3,10,6000,6000,3866,374.0,47.82608695652174,True,0.9993333333333333,4,3017370,12.072400167002343,3.14.0,2.5.2,calibration,small,optimum
scp51,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,4,10,6000,6000,5016,367.0,45.059288537549406,True,0.9986666666666667,8,3012773,12.283490667003207,3.14.0,2.5.2,calibration,small,optimum
scp51,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,0,10,6000,6000,1722,327.0,29.24901185770751,True,1.0,0,7907282,23.903021582984366,3.14.0,2.5.2,calibration,small,optimum
scp51,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,1,10,6000,6000,3613,348.0,37.54940711462451,True,1.0,0,7906275,24.047515082987957,3.14.0,2.5.2,calibration,small,optimum
scp51,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,2,10,6000,6000,2454,329.0,30.039525691699605,True,1.0,0,7906438,24.049430624989327,3.14.0,2.5.2,calibration,small,optimum
scp51,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,3,10,6000,6000,430,346.0,36.758893280632414,True,1.0,0,7907586,24.860545417002868,3.14.0,2.5.2,calibration,small,optimum
scp51,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,4,10,6000,6000,2668,350.0,38.3399209486166,True,1.0,0,7903532,24.60861166700488,3.14.0,2.5.2,calibration,small,optimum
scp61,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,0,10,6000,6000,2243,171.0,23.91304347826087,True,1.0,0,1485481,6.242788000003202,3.14.0,2.5.2,calibration,small,optimum
scp61,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,1,10,6000,6000,5134,175.0,26.81159420289855,True,1.0,0,1483802,6.313771875022212,3.14.0,2.5.2,calibration,small,optimum
scp61,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,2,10,6000,6000,2980,168.0,21.73913043478261,True,1.0,0,1483425,6.37325454200618,3.14.0,2.5.2,calibration,small,optimum
scp61,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,3,10,6000,6000,5710,172.0,24.63768115942029,True,0.9998333333333334,1,1486053,6.603288999991491,3.14.0,2.5.2,calibration,small,optimum
scp61,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,4,10,6000,6000,5803,172.0,24.63768115942029,True,0.9998333333333334,1,1485736,6.871585040993523,3.14.0,2.5.2,calibration,small,optimum
scp61,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,0,10,6000,6000,1424,168.0,21.73913043478261,True,1.0,0,3905918,12.195422415999928,3.14.0,2.5.2,calibration,small,optimum
scp61,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,1,10,6000,6000,5614,169.0,22.463768115942027,True,1.0,0,3903505,12.153385209006956,3.14.0,2.5.2,calibration,small,optimum
scp61,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,2,10,6000,6000,4384,169.0,22.463768115942027,True,1.0,0,3900617,11.999176707991865,3.14.0,2.5.2,calibration,small,optimum
scp61,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,3,10,6000,6000,2075,173.0,25.36231884057971,True,1.0,0,3902620,12.434464084013598,3.14.0,2.5.2,calibration,small,optimum
scp61,BPWO_V3_COMP,PWO,V3-COMP,MAX,1.0,1.0,4,10,6000,6000,873,172.0,24.63768115942029,True,1.0,0,3901289,12.612954917014576,3.14.0,2.5.2,calibration,small,optimum
scpa1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,0,10,6000,6000,2431,358.0,41.50197628458498,True,1.0,0,4591515,22.837365959014278,3.14.0,2.5.2,calibration,medium,optimum
scpa1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,1,10,6000,6000,3693,372.0,47.03557312252964,True,1.0,0,4590469,22.516465291002532,3.14.0,2.5.2,calibration,medium,optimum
scpa1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,2,10,6000,6000,153,404.0,59.683794466403164,True,1.0,0,4581695,22.948978875007015,3.14.0,2.5.2,calibration,medium,optimum
scpa1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,3,10,6000,6000,4917,395.0,56.126482213438734,True,1.0,0,4586831,22.462340416997904,3.14.0,2.5.2,calibration,medium,optimum
scpa1,BPWO_S2_STD,PWO,S2-STD,MAX,1.0,1.0,4,10,6000,6000,352,390.0,54.1501976284585,True,1.0,0,4583815,23.20205729198642,3.14.0,2.5.2,calibration,medium,optimum
