instance,algorithm,movement_mode,scheme,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scp41,GREEDY,N/A,N/A,N/A,N/A,1,1,1,434.0,1.1655011655011656,True,N/A,82,11,0.005298416130244732,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-ELIT,0,10,300,300,91,433.0,0.9324009324009324,True,0.03333333333333333,7302,5318,0.26581933395937085,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-ELIT,1,10,300,300,55,433.0,0.9324009324009324,True,0.03333333333333333,7135,5211,0.23434700025245547,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-ELIT,2,10,300,300,71,433.0,0.9324009324009324,True,0.03333333333333333,7255,5337,0.23799391696229577,3.13.15,2.5.1,calibration,small,optimum
scp41,ABLATION_IID,IID,V3-ELIT,0,10,300,300,62,433.0,0.9324009324009324,True,0.03333333333333333,13898,6134,0.5206921668723226,3.13.15,2.5.1,calibration,small,optimum
scp41,ABLATION_IID,IID,V3-ELIT,1,10,300,300,31,433.0,0.9324009324009324,True,0.03333333333333333,13964,6073,0.5343736251816154,3.13.15,2.5.1,calibration,small,optimum
scp41,ABLATION_IID,IID,V3-ELIT,2,10,300,300,32,433.0,0.9324009324009324,True,0.03333333333333333,14002,6194,0.531426957808435,3.13.15,2.5.1,calibration,small,optimum
scp41,NBPWO,BINARY,NATIVE,0,10,300,300,137,440.0,2.5641025641025643,True,0.4033333333333333,692,4898,0.09393129171803594,3.13.15,2.5.1,calibration,small,optimum
scp41,NBPWO,BINARY,NATIVE,1,10,300,300,62,433.0,0.9324009324009324,True,0.5033333333333333,681,4779,0.09255570825189352,3.13.15,2.5.1,calibration,small,optimum
scp41,NBPWO,BINARY,NATIVE,2,10,300,300,61,433.0,0.9324009324009324,True,0.49333333333333335,742,4775,0.09380029235035181,3.13.15,2.5.1,calibration,small,optimum
scp41,BPSO,REFERENCE,V3-ELIT,0,10,300,300,48,433.0,0.9324009324009324,True,0.03333333333333333,22013,7442,1.0942243752069771,3.13.15,2.5.1,calibration,small,optimum
scp41,BPSO,REFERENCE,V3-ELIT,1,10,300,300,41,433.0,0.9324009324009324,True,0.03333333333333333,21934,7435,1.1366864158771932,3.13.15,2.5.1,calibration,small,optimum
scp41,BPSO,REFERENCE,V3-ELIT,2,10,300,300,23,433.0,0.9324009324009324,True,0.03333333333333333,22033,7397,1.0884314579889178,3.13.15,2.5.1,calibration,small,optimum
scp41,BGWO,REFERENCE,V3-ELIT,0,10,300,300,62,433.0,0.9324009324009324,True,0.03333333333333333,7459,5345,0.24890316696837544,3.13.15,2.5.1,calibration,small,optimum
scp41,BGWO,REFERENCE,V3-ELIT,1,10,300,300,61,433.0,0.9324009324009324,True,0.03333333333333333,7589,5419,0.2536561251617968,3.13.15,2.5.1,calibration,small,optimum
scp41,BGWO,REFERENCE,V3-ELIT,2,10,300,300,56,433.0,0.9324009324009324,True,0.03333333333333333,7738,5368,0.2552020000293851,3.13.15,2.5.1,calibration,small,optimum
scpa1,GREEDY,N/A,N/A,N/A,N/A,1,1,1,261.0,3.1620553359683794,True,N/A,89,16,0.015813708305358887,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO,PWO,V3-ELIT,0,10,300,300,66,256.0,1.1857707509881423,True,0.03333333333333333,7834,15775,0.6231900830753148,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO,PWO,V3-ELIT,1,10,300,300,49,257.0,1.5810276679841897,True,0.03333333333333333,7668,15681,0.6085194172337651,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO,PWO,V3-ELIT,2,10,300,300,50,257.0,1.5810276679841897,True,0.03333333333333333,7595,15636,0.6087804576382041,3.13.15,2.5.1,calibration,medium,optimum
scpa1,ABLATION_IID,IID,V3-ELIT,0,10,300,300,33,257.0,1.5810276679841897,True,0.03333333333333333,15241,17116,2.0168316662311554,3.13.15,2.5.1,calibration,medium,optimum
scpa1,ABLATION_IID,IID,V3-ELIT,1,10,300,300,41,257.0,1.5810276679841897,True,0.03333333333333333,15184,16986,3.040863875299692,3.13.15,2.5.1,calibration,medium,optimum
scpa1,ABLATION_IID,IID,V3-ELIT,2,10,300,300,49,257.0,1.5810276679841897,True,0.03333333333333333,15072,17069,2.5686488752253354,3.13.15,2.5.1,calibration,medium,optimum
scpa1,NBPWO,BINARY,NATIVE,0,10,300,300,77,260.0,2.766798418972332,True,0.47,826,14911,0.36784858303144574,3.13.15,2.5.1,calibration,medium,optimum
scpa1,NBPWO,BINARY,NATIVE,1,10,300,300,112,260.0,2.766798418972332,True,0.48,758,14981,0.35543458303436637,3.13.15,2.5.1,calibration,medium,optimum
scpa1,NBPWO,BINARY,NATIVE,2,10,300,300,77,257.0,1.5810276679841897,True,0.4866666666666667,831,14695,0.39159595780074596,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPSO,REFERENCE,V3-ELIT,0,10,300,300,84,257.0,1.5810276679841897,True,0.03333333333333333,22981,18380,4.915934625081718,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPSO,REFERENCE,V3-ELIT,1,10,300,300,38,257.0,1.5810276679841897,True,0.03333333333333333,22729,18586,3.6796597917564213,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPSO,REFERENCE,V3-ELIT,2,10,300,300,25,257.0,1.5810276679841897,True,0.03333333333333333,22439,18128,3.7244087080471218,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BGWO,REFERENCE,V3-ELIT,0,10,300,300,52,257.0,1.5810276679841897,True,0.03333333333333333,8109,15560,0.7987459995783865,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BGWO,REFERENCE,V3-ELIT,1,10,300,300,49,257.0,1.5810276679841897,True,0.03333333333333333,8400,15969,0.7860543336719275,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BGWO,REFERENCE,V3-ELIT,2,10,300,300,58,257.0,1.5810276679841897,True,0.03333333333333333,8364,15614,0.7505687079392374,3.13.15,2.5.1,calibration,medium,optimum
scpnre1,GREEDY,N/A,N/A,N/A,N/A,1,1,1,30.0,3.4482758620689653,True,N/A,30,0,0.014109665993601084,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO,PWO,V3-ELIT,0,10,300,300,40,29.0,0.0,True,0.03333333333333333,2590,24700,0.8008561669848859,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO,PWO,V3-ELIT,1,10,300,300,36,29.0,0.0,True,0.03333333333333333,2597,24883,0.7885949998162687,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO,PWO,V3-ELIT,2,10,300,300,57,29.0,0.0,True,0.03333333333333333,2646,24835,0.8762702909298241,3.13.15,2.5.1,calibration,large,optimum
scpnre1,ABLATION_IID,IID,V3-ELIT,0,10,300,300,34,29.0,0.0,True,0.03333333333333333,5252,24810,1.5193972080014646,3.13.15,2.5.1,calibration,large,optimum
scpnre1,ABLATION_IID,IID,V3-ELIT,1,10,300,300,31,29.0,0.0,True,0.03333333333333333,5244,24984,1.3651579157449305,3.13.15,2.5.1,calibration,large,optimum
