instance,rank,algorithm,movement_mode,scheme,runs,rpd_median,cost_median,cost_iqr,runtime_mean_seconds
scp41,3.0,BPWO,PWO,V3-ELIT,3,0.9324009324009324,433.0,0.0,0.2460534170580407
scp41,3.0,BGWO,REFERENCE,V3-ELIT,3,0.9324009324009324,433.0,0.0,0.25258709738651913
scp41,3.0,ABLATION_IID,IID,V3-ELIT,3,0.9324009324009324,433.0,0.0,0.528830916620791
scp41,3.0,BPSO,REFERENCE,V3-ELIT,3,0.9324009324009324,433.0,0.0,1.106447416357696
scp41,3.0,NBPWO,BINARY,NATIVE,3,0.9324009324009324,433.0,3.5,0.09342909744009376
scp41,6.0,GREEDY,N/A,N/A,1,1.1655011655011656,434.0,0.0,0.005298416130244732
scpa1,2.5,BGWO,REFERENCE,V3-ELIT,3,1.5810276679841897,257.0,0.0,0.7784563470631838
scpa1,2.5,ABLATION_IID,IID,V3-ELIT,3,1.5810276679841897,257.0,0.0,2.542114805585394
scpa1,2.5,BPSO,REFERENCE,V3-ELIT,3,1.5810276679841897,257.0,0.0,4.106667708295087
scpa1,2.5,BPWO,PWO,V3-ELIT,3,1.5810276679841897,257.0,0.5,0.6134966526490947
scpa1,5.0,NBPWO,BINARY,NATIVE,3,2.766798418972332,260.0,1.5,0.371626374622186
scpa1,6.0,GREEDY,N/A,N/A,1,3.1620553359683794,261.0,0.0,0.015813708305358887
scpnre1,3.0,NBPWO,BINARY,NATIVE,3,0.0,29.0,0.0,0.5072821114833156
scpnre1,3.0,BPWO,PWO,V3-ELIT,3,0.0,29.0,0.0,0.8219071525769929
scpnre1,3.0,BGWO,REFERENCE,V3-ELIT,3,0.0,29.0,0.0,0.8892204998992383
scpnre1,3.0,ABLATION_IID,IID,V3-ELIT,3,0.0,29.0,0.0,1.424877874708424
scpnre1,3.0,BPSO,REFERENCE,V3-ELIT,3,0.0,29.0,0.0,2.481221944714586
scpnre1,6.0,GREEDY,N/A,N/A,1,3.4482758620689653,30.0,0.0,0.014109665993601084
scpnrg1,1.5,BGWO,REFERENCE,V3-ELIT,3,2.272727272727273,180.0,1.0,6.988147263415158
scpnrg1,1.5,ABLATION_IID,IID,V3-ELIT,3,2.272727272727273,180.0,1.0,15.76784169425567
scpnrg1,3.5,BPWO,PWO,V3-ELIT,3,2.840909090909091,181.0,0.5,5.2980319724107785
scpnrg1,3.5,BPSO,REFERENCE,V3-ELIT,3,2.840909090909091,181.0,1.0,35.718134958141796
scpnrg1,5.0,NBPWO,BINARY,NATIVE,3,4.545454545454546,184.0,6.5,2.1072933468967676
scpnrg1,6.0,GREEDY,N/A,N/A,1,7.386363636363637,189.0,0.0,0.19239283306524158
