instance,algorithm,movement_mode,scheme,runs,cost_best,cost_mean,cost_std,cost_median,cost_q1,cost_q3,cost_iqr,cost_worst,rpd_mean,rpd_median,feasible_rate,runtime_mean_seconds,best_evaluation_median,added_per_evaluation_mean,removed_per_evaluation_mean
scp41,ABLATION_IID,IID,V3-ELIT,3,433.0,433.0,0.0,433.0,433.0,433.0,0.0,433.0,0.9324009324009324,0.9324009324009324,1.0,0.528830916620791,32.0,46.51555555555556,20.445555555555554
scp41,BGWO,REFERENCE,V3-ELIT,3,433.0,433.0,0.0,433.0,433.0,433.0,0.0,433.0,0.9324009324009324,0.9324009324009324,1.0,0.25258709738651913,61.0,25.317777777777778,17.924444444444443
scp41,BPSO,REFERENCE,V3-ELIT,3,433.0,433.0,0.0,433.0,433.0,433.0,0.0,433.0,0.9324009324009324,0.9324009324009324,1.0,1.106447416357696,41.0,73.31111111111112,24.74888888888889
scp41,BPWO,PWO,V3-ELIT,3,433.0,433.0,0.0,433.0,433.0,433.0,0.0,433.0,0.9324009324009324,0.9324009324009324,1.0,0.2460534170580407,71.0,24.102222222222224,17.62888888888889
scp41,GREEDY,N/A,N/A,1,434.0,434.0,0.0,434.0,434.0,434.0,0.0,434.0,1.1655011655011656,1.1655011655011656,1.0,0.005298416130244732,1.0,82.0,11.0
scp41,NBPWO,BINARY,NATIVE,3,433.0,435.3333333333333,4.041451884327381,433.0,433.0,436.5,3.5,440.0,1.4763014763014766,0.9324009324009324,1.0,0.09342909744009376,62.0,2.35,16.057777777777776
scpa1,ABLATION_IID,IID,V3-ELIT,3,257.0,257.0,0.0,257.0,257.0,257.0,0.0,257.0,1.5810276679841897,1.5810276679841897,1.0,2.542114805585394,41.0,50.55222222222222,56.85666666666666
scpa1,BGWO,REFERENCE,V3-ELIT,3,257.0,257.0,0.0,257.0,257.0,257.0,0.0,257.0,1.5810276679841897,1.5810276679841897,1.0,0.7784563470631838,52.0,27.636666666666667,52.3811111111111
scpa1,BPSO,REFERENCE,V3-ELIT,3,257.0,257.0,0.0,257.0,257.0,257.0,0.0,257.0,1.5810276679841897,1.5810276679841897,1.0,4.106667708295087,38.0,75.72111111111111,61.21555555555556
scpa1,BPWO,PWO,V3-ELIT,3,256.0,256.6666666666667,0.5773502691896257,257.0,256.5,257.0,0.5,257.0,1.4492753623188406,1.5810276679841897,1.0,0.6134966526490947,50.0,25.66333333333333,52.324444444444445
scpa1,GREEDY,N/A,N/A,1,261.0,261.0,0.0,261.0,261.0,261.0,0.0,261.0,3.1620553359683794,3.1620553359683794,1.0,0.015813708305358887,1.0,89.0,16.0
scpa1,NBPWO,BINARY,NATIVE,3,257.0,259.0,1.7320508075688772,260.0,258.5,260.0,1.5,260.0,2.3715415019762847,2.766798418972332,1.0,0.371626374622186,77.0,2.6833333333333336,49.541111111111114
scpnre1,ABLATION_IID,IID,V3-ELIT,3,29.0,29.0,0.0,29.0,29.0,29.0,0.0,29.0,0.0,0.0,1.0,1.424877874708424,31.0,17.581111111111113,83.07000000000001
scpnre1,BGWO,REFERENCE,V3-ELIT,3,29.0,29.0,0.0,29.0,29.0,29.0,0.0,29.0,0.0,0.0,1.0,0.8892204998992383,44.0,9.42,83.03888888888889
scpnre1,BPSO,REFERENCE,V3-ELIT,3,29.0,29.0,0.0,29.0,29.0,29.0,0.0,29.0,0.0,0.0,1.0,2.481221944714586,23.0,24.12,83.63333333333333
scpnre1,BPWO,PWO,V3-ELIT,3,29.0,29.0,0.0,29.0,29.0,29.0,0.0,29.0,0.0,0.0,1.0,0.8219071525769929,40.0,8.703333333333333,82.68666666666667
scpnre1,GREEDY,N/A,N/A,1,30.0,30.0,0.0,30.0,30.0,30.0,0.0,30.0,3.4482758620689653,3.4482758620689653,1.0,0.014109665993601084,1.0,30.0,0.0
scpnre1,NBPWO,BINARY,NATIVE,3,29.0,29.0,0.0,29.0,29.0,29.0,0.0,29.0,0.0,0.0,1.0,0.5072821114833156,57.0,1.2355555555555555,83.33222222222223
scpnrg1,ABLATION_IID,IID,V3-ELIT,3,179.0,180.0,1.0,180.0,179.5,180.5,1.0,181.0,2.272727272727273,2.272727272727273,1.0,15.76784169425567,137.0,74.06333333333333,171.89111111111114
scpnrg1,BGWO,REFERENCE,V3-ELIT,3,180.0,180.66666666666666,1.1547005383792515,180.0,180.0,181.0,1.0,182.0,2.651515151515152,2.272727272727273,1.0,6.988147263415158,231.0,41.687777777777775,168.58555555555554
scpnrg1,BPSO,REFERENCE,V3-ELIT,3,180.0,181.0,1.0,181.0,180.5,181.5,1.0,182.0,2.8409090909090913,2.840909090909091,1.0,35.718134958141796,72.0,102.0111111111111,175.22
scpnrg1,BPWO,PWO,V3-ELIT,3,180.0,180.66666666666666,0.5773502691896257,181.0,180.5,181.0,0.5,181.0,2.651515151515152,2.840909090909091,1.0,5.2980319724107785,184.0,38.78666666666667,168.33777777777777
scpnrg1,GREEDY,N/A,N/A,1,189.0,189.0,0.0,189.0,189.0,189.0,0.0,189.0,7.386363636363637,7.386363636363637,1.0,0.19239283306524158,1.0,130.0,14.0
scpnrg1,NBPWO,BINARY,NATIVE,3,181.0,186.33333333333334,6.8068592855540455,184.0,182.5,189.0,6.5,194.0,5.871212121212121,4.545454545454546,1.0,2.1072933468967676,116.0,4.018888888888889,166.2311111111111
