instance,algorithm,movement_mode,scheme,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scp41,GREEDY,N/A,N/A,N/A,N/A,1,1,1,434.0,1.1655011655011656,True,N/A,82,11,0.0054350001737475395,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-STD,0,10,300,300,267,801.0,86.7132867132867,True,0.7466666666666667,87,71357,0.367680958006531,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-STD,1,10,300,300,100,821.0,91.37529137529137,True,0.74,94,71474,0.2628367501311004,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-STD,2,10,300,300,176,862.0,100.93240093240094,True,0.8133333333333334,61,71797,0.257621250115335,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-COMP,0,10,300,300,103,717.0,67.13286713286713,True,1.0,0,180101,0.5849208342842758,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-COMP,1,10,300,300,226,724.0,68.76456876456876,True,1.0,0,179820,0.5313534578308463,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-COMP,2,10,300,300,122,690.0,60.83916083916084,True,1.0,0,180578,0.5619101249612868,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-ELIT,0,10,300,300,64,433.0,0.9324009324009324,True,0.03333333333333333,6956,5262,0.24170925002545118,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-ELIT,1,10,300,300,41,433.0,0.9324009324009324,True,0.03333333333333333,6703,5155,0.23517500003799796,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-ELIT,2,10,300,300,35,433.0,0.9324009324009324,True,0.03333333333333333,6871,5254,0.2798963342793286,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-ELIT,0,10,300,300,91,433.0,0.9324009324009324,True,0.03333333333333333,7302,5318,0.24782612500712276,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-ELIT,1,10,300,300,55,433.0,0.9324009324009324,True,0.03333333333333333,7135,5211,0.24456462496891618,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-ELIT,2,10,300,300,71,433.0,0.9324009324009324,True,0.03333333333333333,7255,5337,0.24599383305758238,3.13.15,2.5.1,calibration,small,optimum
scpa1,GREEDY,N/A,N/A,N/A,N/A,1,1,1,261.0,3.1620553359683794,True,N/A,89,16,0.017651000060141087,3.13.15,2.5.1,calibration,medium,optimum
