instance,rank,algorithm,movement_mode,scheme,runs,rpd_median,cost_median,cost_iqr,runtime_mean_seconds
scp41,1.5,BPWO,PWO,V3-ELIT,3,0.9324009324009324,433.0,0.0,0.24612819434454045
scp41,1.5,BPWO,PWO,S2-ELIT,3,0.9324009324009324,433.0,0.0,0.25226019478092593
scp41,3.0,GREEDY,N/A,N/A,1,1.1655011655011656,434.0,0.0,0.0054350001737475395
scp41,4.0,BPWO,PWO,V3-COMP,3,67.13286713286713,717.0,17.0,0.5593948056921363
scp41,5.0,BPWO,PWO,S2-STD,3,91.37529137529137,821.0,30.5,0.29604631941765547
scpa1,1.5,BPWO,PWO,S2-ELIT,3,1.5810276679841897,257.0,0.0,0.7482066662050784
scpa1,1.5,BPWO,PWO,V3-ELIT,3,1.5810276679841897,257.0,0.5,0.6517175977739195
scpa1,3.0,GREEDY,N/A,N/A,1,3.1620553359683794,261.0,0.0,0.017651000060141087
scpa1,4.0,BPWO,PWO,V3-COMP,3,49.40711462450593,378.0,6.5,1.8971479724471767
scpa1,5.0,BPWO,PWO,S2-STD,3,66.79841897233202,422.0,6.0,0.7766971526046594
scpnre1,1.5,BPWO,PWO,V3-ELIT,3,0.0,29.0,0.0,0.7496604858897626
scpnre1,1.5,BPWO,PWO,S2-ELIT,3,0.0,29.0,0.0,0.7554409167108437
scpnre1,3.0,GREEDY,N/A,N/A,1,3.4482758620689653,30.0,0.0,0.01480270829051733
scpnre1,4.0,BPWO,PWO,V3-COMP,3,17.24137931034483,34.0,1.0,3.9319048056689403
scpnre1,5.0,BPWO,PWO,S2-STD,3,27.586206896551722,37.0,1.5,1.7830055276863277
scpnrg1,1.0,BPWO,PWO,S2-ELIT,3,1.7045454545454546,179.0,2.0,5.573807833561053
scpnrg1,2.0,BPWO,PWO,V3-ELIT,3,2.840909090909091,181.0,0.5,5.914800749626011
scpnrg1,3.0,GREEDY,N/A,N/A,1,7.386363636363637,189.0,0.0,0.18713133316487074
scpnrg1,4.0,BPWO,PWO,V3-COMP,3,46.59090909090909,258.0,5.0,9.988141180326542
scpnrg1,5.0,BPWO,PWO,S2-STD,3,66.47727272727273,293.0,3.5,5.167115513700992
