instance,algorithm,movement_mode,scheme,runs,cost_best,cost_mean,cost_std,cost_median,cost_q1,cost_q3,cost_iqr,cost_worst,rpd_mean,rpd_median,feasible_rate,runtime_mean_seconds,best_evaluation_median,added_per_evaluation_mean,removed_per_evaluation_mean
scp41,BPWO,PWO,S2-ELIT,3,433.0,433.0,0.0,433.0,433.0,433.0,0.0,433.0,0.9324009324009324,0.9324009324009324,1.0,0.25226019478092593,41.0,22.811111111111114,17.412222222222223
scp41,BPWO,PWO,S2-STD,3,801.0,828.0,31.096623610932426,821.0,811.0,841.5,30.5,862.0,93.006993006993,91.37529137529137,1.0,0.29604631941765547,176.0,0.2688888888888889,238.47555555555553
scp41,BPWO,PWO,V3-COMP,3,690.0,710.3333333333334,17.95364401266031,717.0,703.5,720.5,17.0,724.0,65.57886557886557,67.13286713286713,1.0,0.5593948056921363,122.0,0.0,600.5544444444445
scp41,BPWO,PWO,V3-ELIT,3,433.0,433.0,0.0,433.0,433.0,433.0,0.0,433.0,0.9324009324009324,0.9324009324009324,1.0,0.24612819434454045,71.0,24.102222222222224,17.62888888888889
scp41,GREEDY,N/A,N/A,1,434.0,434.0,0.0,434.0,434.0,434.0,0.0,434.0,1.1655011655011656,1.1655011655011656,1.0,0.0054350001737475395,1.0,82.0,11.0
scpa1,BPWO,PWO,S2-ELIT,3,257.0,257.0,0.0,257.0,257.0,257.0,0.0,257.0,1.5810276679841897,1.5810276679841897,1.0,0.7482066662050784,49.0,24.286666666666665,52.092222222222226
scpa1,BPWO,PWO,S2-STD,3,415.0,421.3333333333333,6.027713773341708,422.0,418.5,424.5,6.0,427.0,66.53491436100131,66.79841897233202,1.0,0.7766971526046594,83.0,0.0,785.4955555555556
scpa1,BPWO,PWO,V3-COMP,3,366.0,374.3333333333333,7.234178138070235,378.0,372.0,378.5,6.5,379.0,47.957839262187086,49.40711462450593,1.0,1.8971479724471767,200.0,0.0,1987.2811111111112
scpa1,BPWO,PWO,V3-ELIT,3,256.0,256.6666666666667,0.5773502691896257,257.0,256.5,257.0,0.5,257.0,1.4492753623188406,1.5810276679841897,1.0,0.6517175977739195,50.0,25.66333333333333,52.324444444444445
scpa1,GREEDY,N/A,N/A,1,261.0,261.0,0.0,261.0,261.0,261.0,0.0,261.0,3.1620553359683794,3.1620553359683794,1.0,0.017651000060141087,1.0,89.0,16.0
scpnre1,BPWO,PWO,S2-ELIT,3,29.0,29.0,0.0,29.0,29.0,29.0,0.0,29.0,0.0,0.0,1.0,0.7554409167108437,30.0,8.10888888888889,82.61222222222223
scpnre1,BPWO,PWO,S2-STD,3,34.0,36.0,1.7320508075688772,37.0,35.5,37.0,1.5,37.0,24.137931034482758,27.586206896551722,1.0,1.7830055276863277,264.0,0.0,1365.3033333333333
scpnre1,BPWO,PWO,V3-COMP,3,33.0,34.0,1.0,34.0,33.5,34.5,1.0,35.0,17.24137931034483,17.24137931034483,1.0,3.9319048056689403,51.0,0.0,3459.172222222222
scpnre1,BPWO,PWO,V3-ELIT,3,29.0,29.0,0.0,29.0,29.0,29.0,0.0,29.0,0.0,0.0,1.0,0.7496604858897626,40.0,8.703333333333333,82.68666666666667
scpnre1,GREEDY,N/A,N/A,1,30.0,30.0,0.0,30.0,30.0,30.0,0.0,30.0,3.4482758620689653,3.4482758620689653,1.0,0.01480270829051733,1.0,30.0,0.0
scpnrg1,BPWO,PWO,S2-ELIT,3,178.0,179.66666666666666,2.0816659994661326,179.0,178.5,180.5,2.0,182.0,2.0833333333333335,1.7045454545454546,1.0,5.573807833561053,195.0,36.175555555555555,167.37444444444444
scpnrg1,BPWO,PWO,S2-STD,3,292.0,294.6666666666667,3.7859388972001824,293.0,292.5,296.0,3.5,299.0,67.42424242424242,66.47727272727273,1.0,5.167115513700992,7.0,0.0,2700.2722222222224
scpnrg1,BPWO,PWO,V3-COMP,3,250.0,256.0,5.291502622129181,258.0,254.0,259.0,5.0,260.0,45.45454545454546,46.59090909090909,1.0,9.988141180326542,13.0,0.0,6827.997777777778
scpnrg1,BPWO,PWO,V3-ELIT,3,180.0,180.66666666666666,0.5773502691896257,181.0,180.5,181.0,0.5,181.0,2.651515151515152,2.840909090909091,1.0,5.914800749626011,184.0,38.78666666666667,168.33777777777777
scpnrg1,GREEDY,N/A,N/A,1,189.0,189.0,0.0,189.0,189.0,189.0,0.0,189.0,7.386363636363637,7.386363636363637,1.0,0.18713133316487074,1.0,130.0,14.0
