instance,role,scale,algorithm,movement_mode,scheme,runs,final_diversity_median,minimum_diversity_median,trajectory_diversity_median,exploitation_rate_median,initially_feasible_rate_mean,added_per_iteration_mean,removed_per_iteration_mean
scp41,calibration,small,ABLATION_IID,IID,S2-ELIT,5,0.0,0.0,0.00064,0.0,0.0,414.1862068965517,56.682758620689654
scp41,calibration,small,ABLATION_IID,IID,V3-ELIT,5,0.00035999999999999997,0.0,0.0009599999999999999,0.0,0.0,481.89655172413796,64.89655172413794
scp41,calibration,small,BPWO,PWO,S2-ELIT,5,0.00035999999999999997,0.0,0.00035999999999999997,0.8275862068965517,0.0,235.75172413793103,33.97931034482759
scp41,calibration,small,BPWO,PWO,V3-ELIT,5,0.00064,0.0,0.00035999999999999997,0.7586206896551724,0.0,248.9310344827586,35.834482758620695
scpa1,calibration,medium,ABLATION_IID,IID,S2-ELIT,5,0.0,0.0,0.00021333333333333333,0.0,0.0,444.83448275862065,81.1103448275862
scpa1,calibration,medium,ABLATION_IID,IID,V3-ELIT,5,0.00021333333333333333,0.0,0.00066,0.0,0.0,525.048275862069,98.36551724137931
scpa1,calibration,medium,BPWO,PWO,S2-ELIT,5,0.00011999999999999999,0.0,0.00011999999999999999,0.8275862068965517,0.0,252.69655172413795,48.71034482758621
scpa1,calibration,medium,BPWO,PWO,V3-ELIT,5,0.00011999999999999999,0.0,0.00021333333333333333,0.7931034482758621,0.0,266.3655172413793,48.668965517241375
scpnre1,calibration,large,ABLATION_IID,IID,S2-ELIT,5,0.00017999999999999998,0.0,0.00018399999999999997,0.0,0.0,154.85517241379313,7.041379310344828
scpnre1,calibration,large,ABLATION_IID,IID,V3-ELIT,5,0.00016800000000000002,0.0,0.000424,0.0,0.0,182.46206896551723,7.662068965517241
scpnre1,calibration,large,BPWO,PWO,S2-ELIT,5,0.0,0.0,0.00010799999999999998,0.8620689655172413,0.0,83.86206896551724,2.9379310344827587
scpnre1,calibration,large,BPWO,PWO,V3-ELIT,5,0.0,0.0,0.0,0.8620689655172413,0.0,90.0551724137931,3.655172413793103
scpnrg1,calibration,very_large,ABLATION_IID,IID,S2-ELIT,5,0.000458,0.000314,0.0008559999999999999,0.0,0.0,655.7793103448275,85.93103448275863
scpnrg1,calibration,very_large,ABLATION_IID,IID,V3-ELIT,5,0.00112,0.00103,0.00161,0.0,0.0,767.0827586206897,97.80689655172414
scpnrg1,calibration,very_large,BPWO,PWO,S2-ELIT,5,0.00037200000000000004,0.00015399999999999998,0.0004779999999999999,0.6896551724137931,0.0,372.86206896551727,49.70344827586207
scpnrg1,calibration,very_large,BPWO,PWO,V3-ELIT,5,3.6e-05,0.0,0.0006000000000000001,0.6206896551724138,0.0,400.5655172413793,62.01379310344828
