instance,rank,algorithm,movement_mode,scheme,runs,rpd_median,cost_median,cost_iqr,runtime_mean_seconds
scp41,2.5,BPWO,PWO,V3-ELIT,5,0.9324009324009324,433.0,0.0,0.2972748665139079
scp41,2.5,BPWO,PWO,S2-ELIT,5,0.9324009324009324,433.0,0.0,0.30628740824759004
scp41,2.5,ABLATION_IID,IID,S2-ELIT,5,0.9324009324009324,433.0,0.0,0.4707514082081616
scp41,2.5,ABLATION_IID,IID,V3-ELIT,5,0.9324009324009324,433.0,0.0,0.5765337580814958
scp41,5.0,GREEDY,N/A,N/A,1,1.1655011655011656,434.0,0.0,0.005936790723353624
scpa1,2.5,BPWO,PWO,S2-ELIT,5,1.5810276679841897,257.0,0.0,0.6770726418122649
scpa1,2.5,BPWO,PWO,V3-ELIT,5,1.5810276679841897,257.0,0.0,0.7100485749542713
scpa1,2.5,ABLATION_IID,IID,S2-ELIT,5,1.5810276679841897,257.0,0.0,1.5665689334273338
scpa1,2.5,ABLATION_IID,IID,V3-ELIT,5,1.5810276679841897,257.0,0.0,1.9275855000130833
scpa1,5.0,GREEDY,N/A,N/A,1,3.1620553359683794,261.0,0.0,0.017183749936521053
scpnre1,2.5,BPWO,PWO,S2-ELIT,5,0.0,29.0,0.0,0.8228231253102422
scpnre1,2.5,BPWO,PWO,V3-ELIT,5,0.0,29.0,0.0,0.8543384667485953
scpnre1,2.5,ABLATION_IID,IID,S2-ELIT,5,0.0,29.0,0.0,1.3407221746630966
scpnre1,2.5,ABLATION_IID,IID,V3-ELIT,5,0.0,29.0,0.0,1.4136750833131373
scpnre1,5.0,GREEDY,N/A,N/A,1,3.4482758620689653,30.0,0.0,0.01593654230237007
scpnrg1,2.0,ABLATION_IID,IID,S2-ELIT,5,2.272727272727273,180.0,0.0,12.729458666685968
scpnrg1,2.0,ABLATION_IID,IID,V3-ELIT,5,2.272727272727273,180.0,0.0,16.635249100252985
scpnrg1,2.0,BPWO,PWO,S2-ELIT,5,2.272727272727273,180.0,1.0,6.052341224905104
scpnrg1,4.0,BPWO,PWO,V3-ELIT,5,2.840909090909091,181.0,1.0,5.6964778084307905
scpnrg1,5.0,GREEDY,N/A,N/A,1,7.386363636363637,189.0,0.0,0.18831766722723842
