instance,role,scale,reference_type,algorithm,movement_mode,scheme,runs,cost_best,cost_mean,cost_std,cost_median,cost_q1,cost_q3,cost_iqr,cost_worst,rpd_mean,rpd_median,feasible_rate,runtime_mean_seconds,best_evaluation_median,added_per_evaluation_mean,removed_per_evaluation_mean
scp41,calibration,small,optimum,ABLATION_IID,IID,S2-ELIT,5,433.0,433.0,0.0,433.0,433.0,433.0,0.0,433.0,0.9324009324009325,0.9324009324009324,1.0,0.4707514082081616,45.0,40.038,19.668666666666667
scp41,calibration,small,optimum,ABLATION_IID,IID,V3-ELIT,5,433.0,433.0,0.0,433.0,433.0,433.0,0.0,433.0,0.9324009324009325,0.9324009324009324,1.0,0.5765337580814958,38.0,46.583333333333336,20.462666666666667
scp41,calibration,small,optimum,BPWO,PWO,S2-ELIT,5,433.0,433.0,0.0,433.0,433.0,433.0,0.0,433.0,0.9324009324009325,0.9324009324009324,1.0,0.30628740824759004,41.0,22.789333333333335,17.474
scp41,calibration,small,optimum,BPWO,PWO,V3-ELIT,5,433.0,433.0,0.0,433.0,433.0,433.0,0.0,433.0,0.9324009324009325,0.9324009324009324,1.0,0.2972748665139079,71.0,24.063333333333333,17.653333333333332
scp41,calibration,small,optimum,GREEDY,N/A,N/A,1,434.0,434.0,0.0,434.0,434.0,434.0,0.0,434.0,1.1655011655011656,1.1655011655011656,1.0,0.005936790723353624,1.0,82.0,11.0
scpa1,calibration,medium,optimum,ABLATION_IID,IID,S2-ELIT,5,257.0,257.0,0.0,257.0,257.0,257.0,0.0,257.0,1.5810276679841897,1.5810276679841897,1.0,1.5665689334273338,48.0,43.00066666666667,55.40666666666666
scpa1,calibration,medium,optimum,ABLATION_IID,IID,V3-ELIT,5,256.0,256.8,0.4472135954999579,257.0,257.0,257.0,0.0,257.0,1.5019762845849802,1.5810276679841897,1.0,1.9275855000130833,39.0,50.754666666666665,57.074666666666666
scpa1,calibration,medium,optimum,BPWO,PWO,S2-ELIT,5,256.0,256.8,0.4472135954999579,257.0,257.0,257.0,0.0,257.0,1.5019762845849802,1.5810276679841897,1.0,0.6770726418122649,47.0,24.427333333333333,52.27466666666667
scpa1,calibration,medium,optimum,BPWO,PWO,V3-ELIT,5,256.0,256.8,0.4472135954999579,257.0,257.0,257.0,0.0,257.0,1.5019762845849802,1.5810276679841897,1.0,0.7100485749542713,50.0,25.74866666666667,52.27066666666667
scpa1,calibration,medium,optimum,GREEDY,N/A,N/A,1,261.0,261.0,0.0,261.0,261.0,261.0,0.0,261.0,3.1620553359683794,3.1620553359683794,1.0,0.017183749936521053,1.0,89.0,16.0
scpnre1,calibration,large,optimum,ABLATION_IID,IID,S2-ELIT,5,29.0,29.0,0.0,29.0,29.0,29.0,0.0,29.0,0.0,0.0,1.0,1.3407221746630966,32.0,14.969333333333333,83.05133333333333
scpnre1,calibration,large,optimum,ABLATION_IID,IID,V3-ELIT,5,29.0,29.0,0.0,29.0,29.0,29.0,0.0,29.0,0.0,0.0,1.0,1.4136750833131373,31.0,17.637999999999998,83.11133333333333
scpnre1,calibration,large,optimum,BPWO,PWO,S2-ELIT,5,29.0,29.0,0.0,29.0,29.0,29.0,0.0,29.0,0.0,0.0,1.0,0.8228231253102422,30.0,8.106666666666666,82.65466666666666
scpnre1,calibration,large,optimum,BPWO,PWO,V3-ELIT,5,29.0,29.0,0.0,29.0,29.0,29.0,0.0,29.0,0.0,0.0,1.0,0.8543384667485953,36.0,8.705333333333332,82.724
scpnre1,calibration,large,optimum,GREEDY,N/A,N/A,1,30.0,30.0,0.0,30.0,30.0,30.0,0.0,30.0,3.4482758620689653,3.4482758620689653,1.0,0.01593654230237007,1.0,30.0,0.0
scpnrg1,calibration,very_large,best_known,ABLATION_IID,IID,S2-ELIT,5,178.0,179.6,0.8944271909999159,180.0,180.0,180.0,0.0,180.0,2.045454545454546,2.272727272727273,1.0,12.729458666685968,102.0,63.391999999999996,170.988
scpnrg1,calibration,very_large,best_known,ABLATION_IID,IID,V3-ELIT,5,179.0,180.0,0.7071067811865476,180.0,180.0,180.0,0.0,181.0,2.2727272727272725,2.272727272727273,1.0,16.635249100252985,137.0,74.15133333333333,172.13600000000002
scpnrg1,calibration,very_large,best_known,BPWO,PWO,S2-ELIT,5,178.0,179.8,1.4832396974191326,180.0,179.0,180.0,1.0,182.0,2.159090909090909,2.272727272727273,1.0,6.052341224905104,155.0,36.04333333333334,167.486
scpnrg1,calibration,very_large,best_known,BPWO,PWO,V3-ELIT,5,179.0,180.4,0.8944271909999159,181.0,180.0,181.0,1.0,181.0,2.5,2.840909090909091,1.0,5.6964778084307905,184.0,38.721333333333334,168.676
scpnrg1,calibration,very_large,best_known,GREEDY,N/A,N/A,1,189.0,189.0,0.0,189.0,189.0,189.0,0.0,189.0,7.386363636363637,7.386363636363637,1.0,0.18831766722723842,1.0,130.0,14.0
