instance,algorithm,movement_mode,scheme,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scp41,GREEDY,N/A,N/A,N/A,N/A,1,1,1,434.0,1.1655011655011656,True,N/A,82,11,0.005936790723353624,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-ELIT,0,10,300,300,64,433.0,0.9324009324009324,True,0.03333333333333333,6956,5262,0.377254624851048,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-ELIT,1,10,300,300,41,433.0,0.9324009324009324,True,0.03333333333333333,6703,5155,0.3136084168218076,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-ELIT,2,10,300,300,35,433.0,0.9324009324009324,True,0.03333333333333333,6871,5254,0.2888766247779131,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-ELIT,3,10,300,300,56,433.0,0.9324009324009324,True,0.03333333333333333,6821,5227,0.2713016248308122,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-ELIT,4,10,300,300,37,433.0,0.9324009324009324,True,0.03333333333333333,6833,5313,0.2803957499563694,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-ELIT,0,10,300,300,91,433.0,0.9324009324009324,True,0.03333333333333333,7302,5318,0.34178329072892666,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-ELIT,1,10,300,300,55,433.0,0.9324009324009324,True,0.03333333333333333,7135,5211,0.29514391673728824,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-ELIT,2,10,300,300,71,433.0,0.9324009324009324,True,0.03333333333333333,7255,5337,0.2866061250679195,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-ELIT,3,10,300,300,78,433.0,0.9324009324009324,True,0.03333333333333333,7257,5277,0.2949872501194477,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-ELIT,4,10,300,300,49,433.0,0.9324009324009324,True,0.03333333333333333,7146,5337,0.26785374991595745,3.13.15,2.5.1,calibration,small,optimum
scp41,ABLATION_IID,IID,S2-ELIT,0,10,300,300,45,433.0,0.9324009324009324,True,0.03333333333333333,12073,5936,0.4836378749459982,3.13.15,2.5.1,calibration,small,optimum
scp41,ABLATION_IID,IID,S2-ELIT,1,10,300,300,36,433.0,0.9324009324009324,True,0.03333333333333333,11941,5851,0.4667698750272393,3.13.15,2.5.1,calibration,small,optimum
scp41,ABLATION_IID,IID,S2-ELIT,2,10,300,300,63,433.0,0.9324009324009324,True,0.03333333333333333,12137,5931,0.4758262909017503,3.13.15,2.5.1,calibration,small,optimum
scp41,ABLATION_IID,IID,S2-ELIT,3,10,300,300,45,433.0,0.9324009324009324,True,0.03333333333333333,12037,5876,0.4639004999771714,3.13.15,2.5.1,calibration,small,optimum
scp41,ABLATION_IID,IID,S2-ELIT,4,10,300,300,50,433.0,0.9324009324009324,True,0.03333333333333333,11869,5909,0.4636225001886487,3.13.15,2.5.1,calibration,small,optimum
