instance,role,scale,algorithm,movement_mode,scheme,runs,final_diversity_median,minimum_diversity_median,trajectory_diversity_median,exploitation_rate_median,restart_rate_median,initially_feasible_rate_mean,added_per_iteration_mean,removed_per_iteration_mean
scp41,calibration,small,BPWO,PWO,S2-ELIT,5,0.00035999999999999997,0.0,0.00035999999999999997,0.989983305509182,0.0,0.0,223.48280467445744,32.13255425709516
scp41,calibration,small,BPWO,PWO,V3-ELIT,5,0.0,0.0,0.0,0.988313856427379,0.0,0.0,242.43305509181968,34.56794657762938
scp51,calibration,small,BPWO,PWO,S2-ELIT,5,0.00017999999999999998,0.0,0.00042,0.9766277128547579,0.0,0.0,215.69415692821366,29.261769616026708
scp51,calibration,small,BPWO,PWO,V3-ELIT,5,0.0,0.0,0.0,0.9816360601001669,0.0,0.0,233.5188647746244,30.20667779632721
scp61,calibration,small,BPWO,PWO,S2-ELIT,5,0.00035999999999999997,0.0,0.00035999999999999997,0.986644407345576,0.0,0.0,126.24340567612687,20.310851419031717
scp61,calibration,small,BPWO,PWO,V3-ELIT,5,0.00064,0.0,0.00064,0.9816360601001669,0.0,0.0,134.39332220367277,20.541569282136894
scpa1,calibration,medium,BPWO,PWO,S2-ELIT,5,0.0,0.0,0.0,0.989983305509182,0.0,0.0,240.38363939899833,44.67779632721202
scpa1,calibration,medium,BPWO,PWO,V3-ELIT,5,0.0,0.0,0.0,0.988313856427379,0.0,0.0,260.9031719532554,47.842070116861436
scpb1,calibration,medium,BPWO,PWO,S2-ELIT,5,0.0,0.0,0.0,0.9699499165275459,0.0,0.0,120.59599332220367,9.51085141903172
scpb1,calibration,medium,BPWO,PWO,V3-ELIT,5,0.0,0.0,0.0,0.9782971619365609,0.0,0.0,128.63238731218698,7.59432387312187
scpc1,calibration,large,BPWO,PWO,S2-ELIT,5,0.00023999999999999998,0.0,0.00021,0.9782971619365609,0.0,0.0,282.14958263772957,44.1559265442404
scpc1,calibration,large,BPWO,PWO,V3-ELIT,5,0.00016,0.0,0.00025,0.9716193656093489,0.0,0.0,306.5021702838063,48.7889816360601
scpd1,calibration,large,BPWO,PWO,S2-ELIT,5,8.999999999999999e-05,0.0,8.999999999999999e-05,0.9799666110183639,0.0,3.33889816360601e-05,137.58664440734557,20.962604340567612
scpd1,calibration,large,BPWO,PWO,V3-ELIT,5,0.00016,0.0,0.00021,0.9766277128547579,0.0,0.0,150.91485809682803,23.359933222036727
scpnre1,calibration,large,BPWO,PWO,S2-ELIT,5,0.0,0.0,0.0,0.991652754590985,0.0,0.0001001669449081803,81.69048414023374,2.7148580968280465
scpnre1,calibration,large,BPWO,PWO,V3-ELIT,5,7.2e-05,0.0,0.0,0.993322203672788,0.0,6.67779632721202e-05,89.09682804674458,3.1579298831385643
scpnrf1,calibration,large,BPWO,PWO,S2-ELIT,5,0.0,0.0,0.0,0.988313856427379,0.0,0.011285475792988314,40.658430717863105,0.6227045075125208
scpnrf1,calibration,large,BPWO,PWO,V3-ELIT,5,0.0,0.0,0.0,0.989983305509182,0.0,0.007378964941569283,44.98330550918197,0.6988313856427378
scpnrg1,calibration,very_large,BPWO,PWO,S2-ELIT,5,0.00011200000000000001,0.0,0.000124,0.9699499165275459,0.0,0.0,344.7569282136895,42.46477462437396
scpnrg1,calibration,very_large,BPWO,PWO,V3-ELIT,5,0.00016,0.0,0.00010800000000000001,0.9649415692821369,0.0,0.0,380.7569282136895,52.42904841402337
scpnrh1,calibration,very_large,BPWO,PWO,S2-ELIT,5,6.4e-05,0.0,6.8e-05,0.9799666110183639,0.0,0.0,172.5128547579299,12.22237061769616
scpnrh1,calibration,very_large,BPWO,PWO,V3-ELIT,5,0.00012000000000000002,0.0,0.0001,0.9749582637729549,0.0,0.0,188.82303839732887,12.991652754590984
