instance,rank,algorithm,movement_mode,scheme,runs,rpd_median,cost_median,cost_iqr,runtime_mean_seconds
scp41,1.5,BPWO,PWO,V3-ELIT,5,0.9324009324009324,433.0,0.0,3.844472741521895
scp41,1.5,BPWO,PWO,S2-ELIT,5,0.9324009324009324,433.0,0.0,3.9369085750542583
scp51,1.0,BPWO,PWO,V3-ELIT,5,5.138339920948616,266.0,2.0,5.955258724931627
scp51,2.0,BPWO,PWO,S2-ELIT,5,5.533596837944664,267.0,0.0,6.318522725068033
scp61,1.5,BPWO,PWO,S2-ELIT,5,2.1739130434782608,141.0,0.0,3.32025982523337
scp61,1.5,BPWO,PWO,V3-ELIT,5,2.1739130434782608,141.0,0.0,3.464229583181441
scpa1,1.5,BPWO,PWO,S2-ELIT,5,1.5810276679841897,257.0,0.0,12.861242658086121
scpa1,1.5,BPWO,PWO,V3-ELIT,5,1.5810276679841897,257.0,0.0,13.135417282953858
scpb1,1.5,BPWO,PWO,S2-ELIT,5,0.0,69.0,0.0,11.546332199964672
scpb1,1.5,BPWO,PWO,V3-ELIT,5,0.0,69.0,0.0,11.926117224805058
scpc1,1.5,BPWO,PWO,S2-ELIT,5,1.7621145374449338,231.0,0.0,22.052881416678428
scpc1,1.5,BPWO,PWO,V3-ELIT,5,1.7621145374449338,231.0,3.0,23.32240387480706
scpd1,1.5,BPWO,PWO,S2-ELIT,5,0.0,60.0,0.0,20.841844358015805
scpd1,1.5,BPWO,PWO,V3-ELIT,5,0.0,60.0,0.0,21.77268226677552
scpnre1,1.5,BPWO,PWO,S2-ELIT,5,0.0,29.0,0.0,31.49890919160098
scpnre1,1.5,BPWO,PWO,V3-ELIT,5,0.0,29.0,0.0,32.06622443310916
scpnrf1,1.5,BPWO,PWO,S2-ELIT,5,0.0,14.0,0.0,30.82338087502867
scpnrf1,1.5,BPWO,PWO,V3-ELIT,5,0.0,14.0,0.0,30.863964249845594
scpnrg1,1.0,BPWO,PWO,V3-ELIT,5,1.7045454545454546,179.0,2.0,136.33936181664467
scpnrg1,2.0,BPWO,PWO,S2-ELIT,5,2.272727272727273,180.0,1.0,133.9696285001002
scpnrh1,1.0,BPWO,PWO,S2-ELIT,5,3.1746031746031744,65.0,0.0,116.5367000083439
scpnrh1,2.0,BPWO,PWO,V3-ELIT,5,4.761904761904762,66.0,2.0,115.32073424141853
