instance,role,scale,reference_type,algorithm,movement_mode,scheme,runs,cost_best,cost_mean,cost_std,cost_median,cost_q1,cost_q3,cost_iqr,cost_worst,rpd_mean,rpd_median,feasible_rate,runtime_mean_seconds,best_evaluation_median,added_per_evaluation_mean,removed_per_evaluation_mean
scp41,calibration,small,optimum,BPWO,PWO,S2-ELIT,5,433.0,433.0,0.0,433.0,433.0,433.0,0.0,433.0,0.9324009324009325,0.9324009324009324,1.0,3.9369085750542583,41.0,22.311033333333334,3.917366666666667
scp41,calibration,small,optimum,BPWO,PWO,V3-ELIT,5,433.0,433.0,0.0,433.0,433.0,433.0,0.0,433.0,0.9324009324009325,0.9324009324009324,1.0,3.844472741521895,55.0,24.2029,4.160500000000001
scp51,calibration,small,optimum,BPWO,PWO,S2-ELIT,5,263.0,266.2,1.7888543819998317,267.0,267.0,267.0,0.0,267.0,5.217391304347826,5.533596837944664,1.0,6.318522725068033,135.0,21.533466666666666,4.473133333333333
scp51,calibration,small,optimum,BPWO,PWO,V3-ELIT,5,254.0,263.8,5.540758070878027,266.0,265.0,267.0,2.0,267.0,4.2687747035573125,5.138339920948616,1.0,5.955258724931627,497.0,23.312966666666668,4.567466666666666
scp61,calibration,small,optimum,BPWO,PWO,S2-ELIT,5,141.0,141.4,0.8944271909999159,141.0,141.0,141.0,0.0,143.0,2.463768115942029,2.1739130434782608,1.0,3.32025982523337,100.0,12.6033,2.7876666666666665
scp61,calibration,small,optimum,BPWO,PWO,V3-ELIT,5,141.0,141.0,0.0,141.0,141.0,141.0,0.0,141.0,2.1739130434782608,2.1739130434782608,1.0,3.464229583181441,127.0,13.416933333333333,2.8106999999999998
scpa1,calibration,medium,optimum,BPWO,PWO,S2-ELIT,5,256.0,256.8,0.4472135954999579,257.0,257.0,257.0,0.0,257.0,1.5019762845849802,1.5810276679841897,1.0,12.861242658086121,49.0,23.9983,6.838633333333334
scpa1,calibration,medium,optimum,BPWO,PWO,V3-ELIT,5,256.0,256.8,0.4472135954999579,257.0,257.0,257.0,0.0,257.0,1.5019762845849802,1.5810276679841897,1.0,13.135417282953858,51.0,26.046833333333336,7.154533333333333
scpb1,calibration,medium,optimum,BPWO,PWO,S2-ELIT,5,69.0,69.0,0.0,69.0,69.0,69.0,0.0,69.0,0.0,0.0,1.0,11.546332199964672,468.0,12.0395,3.3870666666666667
scpb1,calibration,medium,optimum,BPWO,PWO,V3-ELIT,5,69.0,69.0,0.0,69.0,69.0,69.0,0.0,69.0,0.0,0.0,1.0,11.926117224805058,265.0,12.841800000000001,3.1957333333333335
scpc1,calibration,large,optimum,BPWO,PWO,S2-ELIT,5,228.0,230.8,1.7888543819998317,231.0,231.0,231.0,0.0,233.0,1.6740088105726874,1.7621145374449338,1.0,22.052881416678428,436.0,28.16793333333333,7.589166666666666
scpc1,calibration,large,optimum,BPWO,PWO,V3-ELIT,5,227.0,229.6,1.949358868961793,231.0,228.0,231.0,3.0,231.0,1.145374449339207,1.7621145374449338,1.0,23.32240387480706,1258.0,30.599133333333334,8.0517
scpd1,calibration,large,optimum,BPWO,PWO,S2-ELIT,5,60.0,60.4,0.8944271909999159,60.0,60.0,60.0,0.0,62.0,0.6666666666666667,0.0,1.0,20.841844358015805,1955.0,13.735733333333332,5.3407333333333336
scpd1,calibration,large,optimum,BPWO,PWO,V3-ELIT,5,60.0,60.4,0.8944271909999159,60.0,60.0,60.0,0.0,62.0,0.6666666666666667,0.0,1.0,21.77268226677552,760.0,15.066333333333333,5.580066666666667
scpnre1,calibration,large,optimum,BPWO,PWO,S2-ELIT,5,29.0,29.0,0.0,29.0,29.0,29.0,0.0,29.0,0.0,0.0,1.0,31.49890919160098,30.0,8.155433333333333,4.389566666666666
scpnre1,calibration,large,optimum,BPWO,PWO,V3-ELIT,5,29.0,29.0,0.0,29.0,29.0,29.0,0.0,29.0,0.0,0.0,1.0,32.06622443310916,36.0,8.894833333333334,4.4338
scpnrf1,calibration,large,optimum,BPWO,PWO,S2-ELIT,5,14.0,14.0,0.0,14.0,14.0,14.0,0.0,14.0,0.0,0.0,1.0,30.82338087502867,203.0,4.059066666666666,4.2025
scpnrf1,calibration,large,optimum,BPWO,PWO,V3-ELIT,5,14.0,14.0,0.0,14.0,14.0,14.0,0.0,14.0,0.0,0.0,1.0,30.863964249845594,201.0,4.490833333333333,4.2101
scpnrg1,calibration,very_large,best_known,BPWO,PWO,S2-ELIT,5,179.0,179.6,0.5477225575051661,180.0,179.0,180.0,1.0,180.0,2.045454545454546,2.272727272727273,1.0,133.9696285001002,161.0,34.41823333333333,12.373466666666667
scpnrg1,calibration,very_large,best_known,BPWO,PWO,V3-ELIT,5,178.0,179.0,1.0,179.0,178.0,180.0,2.0,180.0,1.7045454545454546,1.7045454545454546,1.0,136.33936181664467,765.0,38.012233333333334,13.368233333333333
scpnrh1,calibration,very_large,best_known,BPWO,PWO,S2-ELIT,5,64.0,65.0,0.7071067811865476,65.0,65.0,65.0,0.0,66.0,3.1746031746031744,3.1746031746031744,1.0,116.5367000083439,225.0,17.22253333333333,9.453700000000001
scpnrh1,calibration,very_large,best_known,BPWO,PWO,V3-ELIT,5,64.0,65.4,1.3416407864998738,66.0,64.0,66.0,2.0,67.0,3.8095238095238093,4.761904761904762,1.0,115.32073424141853,288.0,18.850833333333334,9.5305
