instance,algorithm,movement_mode,scheme,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scp41,BPWO,PWO,S2-ELIT,0,10,6000,6000,64,433.0,0.9324009324009324,True,0.0016666666666666668,133931,23407,3.763036709278822,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-ELIT,1,10,6000,6000,41,433.0,0.9324009324009324,True,0.0016666666666666668,134078,23425,3.7546350001357496,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-ELIT,2,10,6000,6000,35,433.0,0.9324009324009324,True,0.0016666666666666668,133687,23393,3.7555615408346057,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-ELIT,3,10,6000,6000,56,433.0,0.9324009324009324,True,0.0016666666666666668,133545,23483,3.7637355839833617,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-ELIT,4,10,6000,6000,37,433.0,0.9324009324009324,True,0.0016666666666666668,134090,23813,4.647574041038752,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-ELIT,0,10,6000,6000,96,433.0,0.9324009324009324,True,0.0016666666666666668,145340,25031,3.8551978329196572,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-ELIT,1,10,6000,6000,55,433.0,0.9324009324009324,True,0.0016666666666666668,145123,24995,3.8223578752949834,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-ELIT,2,10,6000,6000,42,433.0,0.9324009324009324,True,0.0016666666666666668,145689,25022,3.841249416116625,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-ELIT,3,10,6000,6000,78,433.0,0.9324009324009324,True,0.0016666666666666668,144776,24907,3.8561457912437618,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,V3-ELIT,4,10,6000,6000,49,433.0,0.9324009324009324,True,0.0016666666666666668,145159,24860,3.847412792034447,3.13.15,2.5.1,calibration,small,optimum
scp51,BPWO,PWO,S2-ELIT,0,10,6000,6000,81,267.0,5.533596837944664,True,0.0016666666666666668,127590,25306,6.54296987503767,3.13.15,2.5.1,calibration,small,optimum
scp51,BPWO,PWO,S2-ELIT,1,10,6000,6000,176,263.0,3.952569169960474,True,0.0016666666666666668,132698,31068,6.641317083034664,3.13.15,2.5.1,calibration,small,optimum
scp51,BPWO,PWO,S2-ELIT,2,10,6000,6000,135,267.0,5.533596837944664,True,0.0016666666666666668,126986,24914,6.523350208066404,3.13.15,2.5.1,calibration,small,optimum
scp51,BPWO,PWO,S2-ELIT,3,10,6000,6000,201,267.0,5.533596837944664,True,0.0016666666666666668,131028,27639,5.607908292207867,3.13.15,2.5.1,calibration,small,optimum
scp51,BPWO,PWO,S2-ELIT,4,10,6000,6000,107,267.0,5.533596837944664,True,0.0016666666666666668,127702,25267,6.277068166993558,3.13.15,2.5.1,calibration,small,optimum
scp51,BPWO,PWO,V3-ELIT,0,10,6000,6000,81,254.0,0.3952569169960474,True,0.0016666666666666668,137353,26900,5.789905291981995,3.13.15,2.5.1,calibration,small,optimum
scp51,BPWO,PWO,V3-ELIT,1,10,6000,6000,709,265.0,4.743083003952569,True,0.0016666666666666668,138225,25861,5.73781287483871,3.13.15,2.5.1,calibration,small,optimum
scp51,BPWO,PWO,V3-ELIT,2,10,6000,6000,497,266.0,5.138339920948616,True,0.0016666666666666668,143287,28911,5.84892962500453,3.13.15,2.5.1,calibration,small,optimum
scp51,BPWO,PWO,V3-ELIT,3,10,6000,6000,740,267.0,5.533596837944664,True,0.0016666666666666668,141218,28371,6.506065667141229,3.13.15,2.5.1,calibration,small,optimum
scp51,BPWO,PWO,V3-ELIT,4,10,6000,6000,107,267.0,5.533596837944664,True,0.0016666666666666668,139306,26981,5.893580165691674,3.13.15,2.5.1,calibration,small,optimum
scp61,BPWO,PWO,S2-ELIT,0,10,6000,6000,114,141.0,2.1739130434782608,True,0.0016666666666666668,73883,16050,3.440370624884963,3.13.15,2.5.1,calibration,small,optimum
scp61,BPWO,PWO,S2-ELIT,1,10,6000,6000,100,141.0,2.1739130434782608,True,0.0016666666666666668,73602,15797,3.4438335420563817,3.13.15,2.5.1,calibration,small,optimum
scp61,BPWO,PWO,S2-ELIT,2,10,6000,6000,49,141.0,2.1739130434782608,True,0.0016666666666666668,73725,15922,3.172818041872233,3.13.15,2.5.1,calibration,small,optimum
scp61,BPWO,PWO,S2-ELIT,3,10,6000,6000,92,143.0,3.6231884057971016,True,0.0016666666666666668,82901,19866,3.3660340420901775,3.13.15,2.5.1,calibration,small,optimum
scp61,BPWO,PWO,S2-ELIT,4,10,6000,6000,104,141.0,2.1739130434782608,True,0.0016666666666666668,73988,15995,3.178242875263095,3.13.15,2.5.1,calibration,small,optimum
scp61,BPWO,PWO,V3-ELIT,0,10,6000,6000,442,141.0,2.1739130434782608,True,0.0016666666666666668,80809,16753,3.6379466662183404,3.13.15,2.5.1,calibration,small,optimum
scp61,BPWO,PWO,V3-ELIT,1,10,6000,6000,54,141.0,2.1739130434782608,True,0.0016666666666666668,80728,16893,3.6585606248117983,3.13.15,2.5.1,calibration,small,optimum
scp61,BPWO,PWO,V3-ELIT,2,10,6000,6000,235,141.0,2.1739130434782608,True,0.0016666666666666668,80610,16964,3.311386208049953,3.13.15,2.5.1,calibration,small,optimum
scp61,BPWO,PWO,V3-ELIT,3,10,6000,6000,127,141.0,2.1739130434782608,True,0.0016666666666666668,80224,16915,3.3103168327361345,3.13.15,2.5.1,calibration,small,optimum
scp61,BPWO,PWO,V3-ELIT,4,10,6000,6000,83,141.0,2.1739130434782608,True,0.0016666666666666668,80137,16796,3.402937584090978,3.13.15,2.5.1,calibration,small,optimum
scpa1,BPWO,PWO,S2-ELIT,0,10,6000,6000,43,257.0,1.5810276679841897,True,0.0016666666666666668,143432,40700,12.750850540585816,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO,PWO,S2-ELIT,1,10,6000,6000,49,257.0,1.5810276679841897,True,0.0016666666666666668,144678,41403,12.986274249851704,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO,PWO,S2-ELIT,2,10,6000,6000,51,257.0,1.5810276679841897,True,0.0016666666666666668,144231,41115,12.962037582881749,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO,PWO,S2-ELIT,3,10,6000,6000,49,257.0,1.5810276679841897,True,0.0016666666666666668,143771,40861,12.754686083178967,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO,PWO,S2-ELIT,4,10,6000,6000,37,256.0,1.1857707509881423,True,0.0016666666666666668,143837,41080,12.85236483393237,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO,PWO,V3-ELIT,0,10,6000,6000,51,256.0,1.1857707509881423,True,0.0016666666666666668,157892,45043,13.183311165776104,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO,PWO,V3-ELIT,1,10,6000,6000,49,257.0,1.5810276679841897,True,0.0016666666666666668,156383,42415,13.188911625184119,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO,PWO,V3-ELIT,2,10,6000,6000,70,257.0,1.5810276679841897,True,0.0016666666666666668,156630,43302,13.21696912497282,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO,PWO,V3-ELIT,3,10,6000,6000,44,257.0,1.5810276679841897,True,0.0016666666666666668,155637,41906,13.164833582937717,3.13.15,2.5.1,calibration,medium,optimum
scpa1,BPWO,PWO,V3-ELIT,4,10,6000,6000,100,257.0,1.5810276679841897,True,0.0016666666666666668,154863,41970,12.923060915898532,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO,PWO,S2-ELIT,0,10,6000,6000,571,69.0,0.0,True,0.0016666666666666668,70219,18379,11.747383832931519,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO,PWO,S2-ELIT,1,10,6000,6000,468,69.0,0.0,True,0.0016666666666666668,70369,18539,11.615299417171627,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO,PWO,S2-ELIT,2,10,6000,6000,247,69.0,0.0,True,0.0016666666666666668,71262,18753,11.842708583921194,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO,PWO,S2-ELIT,3,10,6000,6000,114,69.0,0.0,True,0.0016666666666666668,77646,26470,11.450917999725789,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO,PWO,S2-ELIT,4,10,6000,6000,1625,69.0,0.0,True,0.0016666666666666668,71689,19471,11.075351166073233,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO,PWO,V3-ELIT,0,10,6000,6000,164,69.0,0.0,True,0.0016666666666666668,76878,18877,11.61462974967435,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO,PWO,V3-ELIT,1,10,6000,6000,265,69.0,0.0,True,0.0016666666666666668,76937,19079,11.63704791618511,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO,PWO,V3-ELIT,2,10,6000,6000,1165,69.0,0.0,True,0.0016666666666666668,77527,19251,11.808071208186448,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO,PWO,V3-ELIT,3,10,6000,6000,402,69.0,0.0,True,0.0016666666666666668,76998,19488,12.230687125120312,3.13.15,2.5.1,calibration,medium,optimum
scpb1,BPWO,PWO,V3-ELIT,4,10,6000,6000,206,69.0,0.0,True,0.0016666666666666668,76914,19177,12.340150124859065,3.13.15,2.5.1,calibration,medium,optimum
scpc1,BPWO,PWO,S2-ELIT,0,10,6000,6000,2297,228.0,0.44052863436123346,True,0.0016666666666666668,168457,45656,21.694439500104636,3.13.15,2.5.1,calibration,large,optimum
scpc1,BPWO,PWO,S2-ELIT,1,10,6000,6000,47,231.0,1.7621145374449338,True,0.0016666666666666668,169109,45643,21.569626167416573,3.13.15,2.5.1,calibration,large,optimum
scpc1,BPWO,PWO,S2-ELIT,2,10,6000,6000,1247,231.0,1.7621145374449338,True,0.0016666666666666668,168501,45096,22.41202841605991,3.13.15,2.5.1,calibration,large,optimum
scpc1,BPWO,PWO,S2-ELIT,3,10,6000,6000,436,231.0,1.7621145374449338,True,0.0016666666666666668,168675,45418,22.316366416867822,3.13.15,2.5.1,calibration,large,optimum
scpc1,BPWO,PWO,S2-ELIT,4,10,6000,6000,103,233.0,2.643171806167401,True,0.0016666666666666668,170296,45862,22.2719465829432,3.13.15,2.5.1,calibration,large,optimum
scpc1,BPWO,PWO,V3-ELIT,0,10,6000,6000,1325,227.0,0.0,True,0.0016666666666666668,183598,49515,23.129037416074425,3.13.15,2.5.1,calibration,large,optimum
scpc1,BPWO,PWO,V3-ELIT,1,10,6000,6000,112,231.0,1.7621145374449338,True,0.0016666666666666668,184197,47816,22.975192999932915,3.13.15,2.5.1,calibration,large,optimum
scpc1,BPWO,PWO,V3-ELIT,2,10,6000,6000,1258,228.0,0.44052863436123346,True,0.0016666666666666668,182817,48524,23.23096387507394,3.13.15,2.5.1,calibration,large,optimum
scpc1,BPWO,PWO,V3-ELIT,3,10,6000,6000,475,231.0,1.7621145374449338,True,0.0016666666666666668,183612,47767,23.030527333263308,3.13.15,2.5.1,calibration,large,optimum
scpc1,BPWO,PWO,V3-ELIT,4,10,6000,6000,4037,231.0,1.7621145374449338,True,0.0016666666666666668,183750,47929,24.24629774969071,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO,PWO,S2-ELIT,0,10,6000,6000,41,62.0,3.3333333333333335,True,0.0016666666666666668,81607,31177,20.23064420791343,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO,PWO,S2-ELIT,1,10,6000,6000,5152,60.0,0.0,True,0.0016666666666666668,84525,33105,21.830591250211,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO,PWO,S2-ELIT,2,10,6000,6000,1955,60.0,0.0,True,0.0018333333333333333,81964,32315,21.791110415942967,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO,PWO,S2-ELIT,3,10,6000,6000,4080,60.0,0.0,True,0.0016666666666666668,81715,30909,20.047792125027627,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO,PWO,S2-ELIT,4,10,6000,6000,244,60.0,0.0,True,0.0016666666666666668,82261,32716,20.309083790984005,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO,PWO,V3-ELIT,0,10,6000,6000,41,62.0,3.3333333333333335,True,0.0016666666666666668,89831,33136,22.009367417078465,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO,PWO,V3-ELIT,1,10,6000,6000,343,60.0,0.0,True,0.0016666666666666668,90187,33981,20.839522583410144,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO,PWO,V3-ELIT,2,10,6000,6000,760,60.0,0.0,True,0.0016666666666666668,91099,33442,21.001210582908243,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO,PWO,V3-ELIT,3,10,6000,6000,2503,60.0,0.0,True,0.0016666666666666668,90230,33172,22.321133375167847,3.13.15,2.5.1,calibration,large,optimum
scpd1,BPWO,PWO,V3-ELIT,4,10,6000,6000,1782,60.0,0.0,True,0.0016666666666666668,90643,33671,22.692177375312895,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO,PWO,S2-ELIT,0,10,6000,6000,65,29.0,0.0,True,0.0018333333333333333,48954,26254,30.986553375143558,3.13.15,2.5.1,calibration,large,optimum
scpnre1,BPWO,PWO,S2-ELIT,1,10,6000,6000,21,29.0,0.0,True,0.0018333333333333333,49079,26450,31.524377750232816,3.13.15,2.5.1,calibration,large,optimum
