instance,role,scale,algorithm,movement_mode,scheme,runs,final_diversity_median,minimum_diversity_median,trajectory_diversity_median,exploitation_rate_median,restart_rate_median,initially_feasible_rate_mean,added_per_iteration_mean,removed_per_iteration_mean
scp51,calibration,small,BPWO,PWO,S2-ELIT,5,0.0005,0.0,0.00069,0.7586206896551724,0.0,0.0,227.7655172413793,30.717241379310344
scp51,calibration,small,BPWO,PWO,V3-ELIT,5,0.00032,0.0,0.0005,0.7241379310344828,0.0,0.0,236.2,31.50344827586207
scp61,calibration,small,BPWO,PWO,S2-ELIT,5,0.00035999999999999997,0.0,0.00064,0.7586206896551724,0.0,0.0,131.70344827586206,20.951724137931034
scp61,calibration,small,BPWO,PWO,V3-ELIT,5,0.0,0.0,0.00064,0.7241379310344828,0.0,0.0,137.33793103448278,21.806896551724137
scpb1,calibration,medium,BPWO,PWO,S2-ELIT,5,0.0,0.0,0.00023999999999999998,0.7586206896551724,0.0,0.0,125.98620689655172,9.372413793103448
scpb1,calibration,medium,BPWO,PWO,V3-ELIT,5,0.0,0.0,0.00028000000000000003,0.7931034482758621,0.0,0.0,136.44137931034484,13.206896551724139
scpc1,calibration,large,BPWO,PWO,S2-ELIT,5,0.00021,0.0,0.00055,0.7241379310344828,0.0,0.0,299.9517241379311,48.52413793103448
scpc1,calibration,large,BPWO,PWO,V3-ELIT,5,0.00032999999999999994,8.999999999999999e-05,0.00043,0.7241379310344828,0.0,0.0,312.1448275862069,49.39310344827586
scpd1,calibration,large,BPWO,PWO,S2-ELIT,5,0.00051,0.0,0.00055,0.8620689655172413,0.0,0.0,143.98620689655172,20.779310344827586
scpd1,calibration,large,BPWO,PWO,V3-ELIT,5,0.00016,0.0,0.000345,0.7241379310344828,0.0,0.0,154.12413793103445,24.03448275862069
scpnrf1,calibration,large,BPWO,PWO,S2-ELIT,5,0.0,0.0,0.00021600000000000002,0.8620689655172413,0.0,0.00827586206896552,43.56551724137931,0.8758620689655172
scpnrf1,calibration,large,BPWO,PWO,V3-ELIT,5,0.0,0.0,0.000504,0.8620689655172413,0.0,0.00413793103448276,46.71034482758621,0.8620689655172414
scpnrh1,calibration,very_large,BPWO,PWO,S2-ELIT,5,7.2e-05,3.6e-05,0.00017400000000000003,0.7931034482758621,0.0,0.0,184.64137931034483,14.627586206896552
scpnrh1,calibration,very_large,BPWO,PWO,V3-ELIT,5,9.6e-05,0.0,0.000164,0.7241379310344828,0.0,0.0,195.54482758620688,14.531034482758619
