instance,rank,algorithm,movement_mode,scheme,runs,rpd_median,cost_median,cost_iqr,runtime_mean_seconds
scp51,1.0,BPWO,PWO,S2-ELIT,5,5.533596837944664,267.0,0.0,0.2804648003540933
scp51,2.0,BPWO,PWO,V3-ELIT,5,5.928853754940712,268.0,1.0,0.27485379176214336
scp51,3.0,GREEDY,N/A,N/A,1,6.324110671936759,269.0,0.0,0.003915833309292793
scp61,1.5,BPWO,PWO,S2-ELIT,5,2.1739130434782608,141.0,0.0,0.15275411652401089
scp61,1.5,BPWO,PWO,V3-ELIT,5,2.1739130434782608,141.0,0.0,0.15525716645643114
scp61,3.0,GREEDY,N/A,N/A,1,2.898550724637681,142.0,0.0,0.001559167169034481
scpb1,1.0,BPWO,PWO,S2-ELIT,5,0.0,69.0,1.0,0.448450024984777
scpb1,2.0,BPWO,PWO,V3-ELIT,5,1.4492753623188406,70.0,1.0,0.46873870827257635
scpb1,3.0,GREEDY,N/A,N/A,1,5.797101449275362,73.0,0.0,0.004559249617159367
scpc1,1.5,BPWO,PWO,S2-ELIT,5,1.7621145374449338,231.0,0.0,0.8508008333854378
scpc1,1.5,BPWO,PWO,V3-ELIT,5,1.7621145374449338,231.0,2.0,0.8522095167078078
scpc1,3.0,GREEDY,N/A,N/A,1,4.405286343612334,237.0,0.0,0.0107163330540061
scpd1,1.0,BPWO,PWO,V3-ELIT,5,0.0,60.0,1.0,0.8110485330224038
scpd1,2.0,BPWO,PWO,S2-ELIT,5,3.3333333333333335,62.0,1.0,0.7536319418810308
scpd1,3.0,GREEDY,N/A,N/A,1,11.666666666666666,67.0,0.0,0.00689512537792325
scpnrf1,1.5,BPWO,PWO,S2-ELIT,5,0.0,14.0,0.0,0.9756892583332956
scpnrf1,1.5,BPWO,PWO,V3-ELIT,5,0.0,14.0,0.0,0.9976765416562557
scpnrf1,3.0,GREEDY,N/A,N/A,1,14.285714285714286,16.0,0.0,0.007588499691337347
scpnrh1,1.5,BPWO,PWO,S2-ELIT,5,4.761904761904762,66.0,1.0,4.160901300236583
scpnrh1,1.5,BPWO,PWO,V3-ELIT,5,4.761904761904762,66.0,1.0,4.300958341639489
scpnrh1,3.0,GREEDY,N/A,N/A,1,9.523809523809524,69.0,0.0,0.046821000054478645
