instance,role,scale,reference_type,algorithm,movement_mode,scheme,runs,cost_best,cost_mean,cost_std,cost_median,cost_q1,cost_q3,cost_iqr,cost_worst,rpd_mean,rpd_median,feasible_rate,runtime_mean_seconds,best_evaluation_median,added_per_evaluation_mean,removed_per_evaluation_mean
scp51,calibration,small,optimum,BPWO,PWO,S2-ELIT,5,263.0,266.4,1.949358868961793,267.0,267.0,267.0,0.0,268.0,5.296442687747036,5.533596837944664,1.0,0.2804648003540933,132.0,22.017333333333333,34.006
scp51,calibration,small,optimum,BPWO,PWO,V3-ELIT,5,254.0,265.2,6.300793600809346,268.0,267.0,268.0,1.0,269.0,4.822134387351779,5.928853754940712,1.0,0.27485379176214336,94.0,22.832666666666665,34.082
scp51,calibration,small,optimum,GREEDY,N/A,N/A,1,269.0,269.0,0.0,269.0,269.0,269.0,0.0,269.0,6.324110671936759,6.324110671936759,1.0,0.003915833309292793,1.0,77.0,10.0
scp61,calibration,small,optimum,BPWO,PWO,S2-ELIT,5,141.0,141.0,0.0,141.0,141.0,141.0,0.0,141.0,2.1739130434782608,2.1739130434782608,1.0,0.15275411652401089,62.0,12.731333333333334,17.224666666666668
scp61,calibration,small,optimum,BPWO,PWO,V3-ELIT,5,141.0,141.4,0.8944271909999159,141.0,141.0,141.0,0.0,143.0,2.463768115942029,2.1739130434782608,1.0,0.15525716645643114,83.0,13.276,17.307333333333332
scp61,calibration,small,optimum,GREEDY,N/A,N/A,1,142.0,142.0,0.0,142.0,142.0,142.0,0.0,142.0,2.898550724637681,2.898550724637681,1.0,0.001559167169034481,1.0,47.0,9.0
scpb1,calibration,medium,optimum,BPWO,PWO,S2-ELIT,5,69.0,69.6,0.8944271909999159,69.0,69.0,70.0,1.0,71.0,0.8695652173913043,0.0,1.0,0.448450024984777,193.0,12.178666666666667,49.657333333333334
scpb1,calibration,medium,optimum,BPWO,PWO,V3-ELIT,5,69.0,69.8,0.8366600265340756,70.0,69.0,70.0,1.0,71.0,1.1594202898550725,1.4492753623188406,1.0,0.46873870827257635,167.0,13.189333333333334,50.028
scpb1,calibration,medium,optimum,GREEDY,N/A,N/A,1,73.0,73.0,0.0,73.0,73.0,73.0,0.0,73.0,5.797101449275362,5.797101449275362,1.0,0.004559249617159367,1.0,45.0,3.0
scpc1,calibration,large,optimum,BPWO,PWO,S2-ELIT,5,228.0,230.8,1.7888543819998317,231.0,231.0,231.0,0.0,233.0,1.6740088105726874,1.7621145374449338,1.0,0.8508008333854378,135.0,28.99533333333334,68.30933333333334
scpc1,calibration,large,optimum,BPWO,PWO,V3-ELIT,5,228.0,230.4,1.949358868961793,231.0,229.0,231.0,2.0,233.0,1.4977973568281937,1.7621145374449338,1.0,0.8522095167078078,282.0,30.174,68.39333333333335
scpc1,calibration,large,optimum,GREEDY,N/A,N/A,1,237.0,237.0,0.0,237.0,237.0,237.0,0.0,237.0,4.405286343612334,4.405286343612334,1.0,0.0107163330540061,1.0,104.0,14.0
scpd1,calibration,large,optimum,BPWO,PWO,S2-ELIT,5,60.0,61.4,0.8944271909999159,62.0,61.0,62.0,1.0,62.0,2.3333333333333335,3.3333333333333335,1.0,0.7536319418810308,43.0,13.918666666666667,66.96799999999999
scpd1,calibration,large,optimum,BPWO,PWO,V3-ELIT,5,60.0,60.4,0.5477225575051661,60.0,60.0,61.0,1.0,61.0,0.6666666666666667,0.0,1.0,0.8110485330224038,95.0,14.898666666666667,67.28266666666667
scpd1,calibration,large,optimum,GREEDY,N/A,N/A,1,67.0,67.0,0.0,67.0,67.0,67.0,0.0,67.0,11.666666666666666,11.666666666666666,1.0,0.00689512537792325,1.0,52.0,7.0
scpnrf1,calibration,large,optimum,BPWO,PWO,S2-ELIT,5,14.0,14.2,0.4472135954999579,14.0,14.0,14.0,0.0,15.0,1.4285714285714286,0.0,1.0,0.9756892583332956,108.0,4.211333333333334,82.89133333333334
scpnrf1,calibration,large,optimum,BPWO,PWO,V3-ELIT,5,14.0,14.2,0.4472135954999579,14.0,14.0,14.0,0.0,15.0,1.4285714285714286,0.0,1.0,0.9976765416562557,116.0,4.515333333333333,82.89
scpnrf1,calibration,large,optimum,GREEDY,N/A,N/A,1,16.0,16.0,0.0,16.0,16.0,16.0,0.0,16.0,14.285714285714286,14.285714285714286,1.0,0.007588499691337347,1.0,16.0,0.0
scpnrh1,calibration,very_large,best_known,BPWO,PWO,S2-ELIT,5,65.0,65.6,0.5477225575051661,66.0,65.0,66.0,1.0,66.0,4.1269841269841265,4.761904761904762,1.0,4.160901300236583,138.0,17.848666666666666,166.084
scpnrh1,calibration,very_large,best_known,BPWO,PWO,V3-ELIT,5,64.0,66.0,1.224744871391589,66.0,66.0,67.0,1.0,67.0,4.761904761904762,4.761904761904762,1.0,4.300958341639489,114.0,18.902666666666665,166.07466666666667
scpnrh1,calibration,very_large,best_known,GREEDY,N/A,N/A,1,69.0,69.0,0.0,69.0,69.0,69.0,0.0,69.0,9.523809523809524,9.523809523809524,1.0,0.046821000054478645,1.0,67.0,7.0
