instance,algorithm,movement_mode,scheme,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,runtime_seconds,python,numpy,role,scale,reference_type
scp41,GREEDY,N/A,N/A,N/A,N/A,1,1,1,434.0,1.1655011655011656,True,N/A,82,11,0.0023067500442266464,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-ELIT,0,10,300,300,64,433.0,0.9324009324009324,True,0.03333333333333333,6956,5262,0.20064812526106834,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-ELIT,1,10,300,300,41,433.0,0.9324009324009324,True,0.03333333333333333,6703,5155,0.18246529111638665,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-ELIT,2,10,300,300,35,433.0,0.9324009324009324,True,0.03333333333333333,6871,5254,0.18264895863831043,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-ELIT,3,10,300,300,56,433.0,0.9324009324009324,True,0.03333333333333333,6821,5227,0.18137875013053417,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO,PWO,S2-ELIT,4,10,300,300,37,433.0,0.9324009324009324,True,0.03333333333333333,6833,5313,0.18206470785662532,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO_DR,PWO-DR,S2-ELIT,0,10,300,300,64,433.0,0.9324009324009324,True,0.03333333333333333,7610,5340,0.19809912471100688,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO_DR,PWO-DR,S2-ELIT,1,10,300,300,41,433.0,0.9324009324009324,True,0.03333333333333333,7390,5269,0.1966886674053967,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO_DR,PWO-DR,S2-ELIT,2,10,300,300,35,433.0,0.9324009324009324,True,0.03333333333333333,7798,5364,0.2032329998910427,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO_DR,PWO-DR,S2-ELIT,3,10,300,300,56,433.0,0.9324009324009324,True,0.03333333333333333,7716,5331,0.20213345810770988,3.13.15,2.5.1,calibration,small,optimum
scp41,BPWO_DR,PWO-DR,S2-ELIT,4,10,300,300,37,433.0,0.9324009324009324,True,0.03333333333333333,7720,5418,0.24581179209053516,3.13.15,2.5.1,calibration,small,optimum
scpa1,GREEDY,N/A,N/A,N/A,N/A,1,1,1,261.0,3.1620553359683794,True,N/A,89,16,0.006330541800707579,3.13.15,2.5.1,calibration,medium,optimum
