instance,rank,algorithm,movement_mode,scheme,runs,rpd_median,cost_median,cost_iqr,runtime_mean_seconds
scp41,1.5,BPWO,PWO,S2-ELIT,5,0.9324009324009324,433.0,0.0,0.18584116660058497
scp41,1.5,BPWO_DR,PWO-DR,S2-ELIT,5,0.9324009324009324,433.0,0.0,0.20919320844113826
scp41,3.0,GREEDY,N/A,N/A,1,1.1655011655011656,434.0,0.0,0.0023067500442266464
scpa1,1.5,BPWO,PWO,S2-ELIT,5,1.5810276679841897,257.0,0.0,0.5130241417326034
scpa1,1.5,BPWO_DR,PWO-DR,S2-ELIT,5,1.5810276679841897,257.0,0.0,0.569823717046529
scpa1,3.0,GREEDY,N/A,N/A,1,3.1620553359683794,261.0,0.0,0.006330541800707579
scpnre1,1.5,BPWO,PWO,S2-ELIT,5,0.0,29.0,0.0,1.0565472416579724
scpnre1,1.5,BPWO_DR,PWO-DR,S2-ELIT,5,0.0,29.0,0.0,1.0968425501137973
scpnre1,3.0,GREEDY,N/A,N/A,1,3.4482758620689653,30.0,0.0,0.010604749899357557
scpnrg1,1.5,BPWO_DR,PWO-DR,S2-ELIT,5,2.272727272727273,180.0,0.0,4.895083383563906
scpnrg1,1.5,BPWO,PWO,S2-ELIT,5,2.272727272727273,180.0,1.0,4.573411816824228
scpnrg1,3.0,GREEDY,N/A,N/A,1,7.386363636363637,189.0,0.0,0.05636833282187581
