instance,algorithm,movement_mode,scheme,selection_mode,state_update_mode,degenerate_cohesion,latent_amplitude,repair_feedback,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,acceptance_rate,binary_state_change_rate,global_improvements,runtime_seconds,python,numpy,role,scale,reference_type
scp43,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,0,10,6000,6000,992,520.0,0.7751937984496124,True,0.7306666666666667,2887,47040,1.0,0.15525876460767946,30,3.394971625006292,3.13.15,2.5.1,development,small,optimum
scp43,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,1,10,6000,6000,1857,533.0,3.294573643410853,True,0.7295,3062,47509,1.0,0.18080133555926545,43,3.3629360830018413,3.13.15,2.5.1,development,small,optimum
scp43,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,2,10,6000,6000,854,527.0,2.131782945736434,True,0.7301666666666666,3049,47145,1.0,0.16544240400667778,35,3.4316531250005937,3.13.15,2.5.1,development,small,optimum
scp43,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,3,10,6000,6000,652,527.0,2.131782945736434,True,0.733,3081,47203,1.0,0.1595993322203673,36,3.3691890830014017,3.13.15,2.5.1,development,small,optimum
scp43,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,4,10,6000,6000,1022,523.0,1.3565891472868217,True,0.7343333333333333,2948,47130,1.0,0.15475792988313855,32,3.4207901670015417,3.13.15,2.5.1,development,small,optimum
scp43,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,0,10,6000,6000,2269,526.0,1.937984496124031,True,0.9586666666666667,763,6801,1.0,0.02003338898163606,12,3.179910375001782,3.13.15,2.5.1,development,small,optimum
scp43,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,1,10,6000,6000,5032,538.0,4.263565891472868,True,0.956,769,6926,1.0,0.028881469115191988,22,3.180206000004546,3.13.15,2.5.1,development,small,optimum
scp43,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,2,10,6000,6000,3764,533.0,3.294573643410853,True,0.9553333333333334,737,6889,1.0,0.02621035058430718,13,3.14772487499431,3.13.15,2.5.1,development,small,optimum
scp43,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,3,10,6000,6000,1776,528.0,2.3255813953488373,True,0.9598333333333333,719,6838,1.0,0.020701168614357262,16,3.250150375002704,3.13.15,2.5.1,development,small,optimum
scp43,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,4,10,6000,6000,2867,523.0,1.3565891472868217,True,0.957,673,6893,1.0,0.02053422370617696,13,3.2442126249952707,3.13.15,2.5.1,development,small,optimum
scp43,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,0,10,6000,6000,96,520.0,0.7751937984496124,True,0.9623333333333334,736,6792,0.9964941569282136,0.013522537562604341,12,3.3800697499973467,3.13.15,2.5.1,development,small,optimum
scp43,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,1,10,6000,6000,4419,543.0,5.232558139534884,True,0.9563333333333334,806,6954,0.9936560934891486,0.023873121869782972,23,3.4575418750027893,3.13.15,2.5.1,development,small,optimum
scp43,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,2,10,6000,6000,3764,533.0,3.294573643410853,True,0.9621666666666666,667,6832,0.9984974958263773,0.017696160267111852,12,3.4325602919998346,3.13.15,2.5.1,development,small,optimum
scp43,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,3,10,6000,6000,148,526.0,1.937984496124031,True,0.9551666666666667,836,6974,0.9943238731218698,0.01719532554257095,19,3.4137913340018713,3.13.15,2.5.1,development,small,optimum
scp43,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,4,10,6000,6000,119,523.0,1.3565891472868217,True,0.9581666666666667,681,6948,0.996661101836394,0.015525876460767947,14,3.408940333996725,3.13.15,2.5.1,development,small,optimum
scp53,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,0,10,6000,6000,1955,230.0,1.7699115044247788,True,0.7803333333333333,2042,97635,1.0,0.21202003338898165,27,5.663840082997922,3.13.15,2.5.1,development,small,optimum
scp53,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,1,10,6000,6000,1026,233.0,3.0973451327433628,True,0.7685,2197,97717,1.0,0.22554257095158597,23,5.6423944999987725,3.13.15,2.5.1,development,small,optimum
scp53,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,2,10,6000,6000,925,240.0,6.1946902654867255,True,0.7818333333333334,2031,97445,1.0,0.20834724540901503,33,5.682963958999608,3.13.15,2.5.1,development,small,optimum
scp53,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,3,10,6000,6000,1241,233.0,3.0973451327433628,True,0.7788333333333334,2098,97442,1.0,0.21318864774624374,29,6.596427625001525,3.13.15,2.5.1,development,small,optimum
