instance,algorithm,movement_mode,scheme,selection_mode,state_update_mode,degenerate_cohesion,latent_amplitude,repair_feedback,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,acceptance_rate,binary_state_change_rate,global_improvements,runtime_seconds,python,numpy,role,scale,reference_type
scp43,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,0,10,300,300,274,569.0,10.271317829457365,True,0.77,138,6160,1.0,0.496551724137931,19,0.1344729999982519,3.13.15,2.5.1,development,small,optimum
scp43,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,1,10,300,300,292,676.0,31.007751937984494,True,0.72,173,6214,1.0,0.4896551724137931,22,0.13493641700188164,3.13.15,2.5.1,development,small,optimum
scp43,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,2,10,300,300,203,619.0,19.96124031007752,True,0.7533333333333333,164,6255,1.0,0.4586206896551724,17,0.13479283400374698,3.13.15,2.5.1,development,small,optimum
scp53,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,0,10,300,300,205,264.0,16.8141592920354,True,0.7766666666666666,106,13334,1.0,0.5172413793103449,16,0.2160766250017332,3.13.15,2.5.1,development,small,optimum
scp53,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,1,10,300,300,156,284.0,25.663716814159294,True,0.7366666666666667,123,13364,1.0,0.41379310344827586,12,0.2047802919987589,3.13.15,2.5.1,development,small,optimum
scp53,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,2,10,300,300,147,293.0,29.646017699115045,True,0.8133333333333334,82,13391,1.0,0.4241379310344828,16,0.20381229200575035,3.13.15,2.5.1,development,small,optimum
scp63,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,0,10,300,300,78,155.0,6.896551724137931,True,0.88,48,6494,1.0,0.2689655172413793,9,0.10839083299651975,3.13.15,2.5.1,development,small,optimum
scp63,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,1,10,300,300,135,184.0,26.896551724137932,True,0.8366666666666667,77,6514,1.0,0.42758620689655175,12,0.11133437499665888,3.13.15,2.5.1,development,small,optimum
scp63,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,2,10,300,300,198,198.0,36.55172413793103,True,0.8666666666666667,63,6522,1.0,0.4103448275862069,10,0.11013862499385141,3.13.15,2.5.1,development,small,optimum
scpa3,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,0,10,300,300,176,289.0,24.56896551724138,True,0.74,143,20322,1.0,0.4896551724137931,17,0.4445233329970506,3.13.15,2.5.1,development,medium,optimum
scpa3,ALPHA_ALWAYS_SYNC,ALPHA,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,1,10,300,300,269,325.0,40.08620689655172,True,0.7866666666666666,91,20418,1.0,0.5448275862068965,19,0.4402470830027596,3.13.15,2.5.1,development,medium,optimum
