instance,algorithm,movement_mode,scheme,selection_mode,state_update_mode,degenerate_cohesion,latent_amplitude,repair_feedback,seed,population,evaluation_budget,evaluations,best_found_at_evaluation,cost,rpd,feasible,initially_feasible_rate,added_columns,removed_columns,acceptance_rate,binary_state_change_rate,global_improvements,runtime_seconds,python,numpy,role,scale,reference_type
scp43,ALPHA_ALWAYS_FEEDBACK,ALPHA,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,0,10,300,300,274,569.0,10.271317829457365,True,0.77,138,6160,1.0,0.496551724137931,19,0.30678166700090514,3.13.15,2.5.1,development,small,optimum
scp43,ALPHA_ALWAYS_FEEDBACK,ALPHA,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,1,10,300,300,292,676.0,31.007751937984494,True,0.72,173,6214,1.0,0.4896551724137931,22,0.3010817499962286,3.13.15,2.5.1,development,small,optimum
scp43,ALPHA_ALWAYS_FEEDBACK,ALPHA,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,2,10,300,300,203,619.0,19.96124031007752,True,0.7533333333333333,164,6255,1.0,0.4586206896551724,17,0.30062841700419085,3.13.15,2.5.1,development,small,optimum
scp43,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,0,10,300,300,72,528.0,2.3255813953488373,True,0.7,564,4951,1.0,0.32068965517241377,11,0.3691544579996844,3.13.15,2.5.1,development,small,optimum
scp43,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,1,10,300,300,153,651.0,26.162790697674417,True,0.8766666666666667,317,4715,1.0,0.15862068965517243,9,0.36332849999598693,3.13.15,2.5.1,development,small,optimum
scp43,ANCHOR_ALWAYS_SYNC,PWO,S1-STD,ALWAYS,SYNC,MIN,4.0,1.0,2,10,300,300,71,559.0,8.333333333333334,True,0.7966666666666666,451,4929,1.0,0.2655172413793103,8,0.3533105419992353,3.13.15,2.5.1,development,small,optimum
scp43,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,0,10,300,300,45,564.0,9.30232558139535,True,0.8633333333333333,386,4791,0.9896551724137931,0.14482758620689656,8,0.3315362079956685,3.13.15,2.5.1,development,small,optimum
scp43,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,1,10,300,300,89,567.0,9.883720930232558,True,0.75,566,4961,0.9620689655172414,0.2413793103448276,15,0.3338607499972568,3.13.15,2.5.1,development,small,optimum
scp43,ANCHOR_GREEDY_SYNC,PWO,S1-STD,GREEDY,SYNC,MIN,4.0,1.0,2,10,300,300,81,564.0,9.30232558139535,True,0.8066666666666666,445,4926,0.9724137931034482,0.22413793103448276,10,0.3424178330024006,3.13.15,2.5.1,development,small,optimum
scp43,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,0,10,300,300,70,591.0,14.534883720930232,True,0.7366666666666667,858,5932,1.0,0.2827586206896552,10,0.3604549580049934,3.13.15,2.5.1,development,small,optimum
scp43,PWO_ALWAYS_FEEDBACK,PWO,S1-STD,ALWAYS,REPAIR_FEEDBACK,MIN,4.0,1.0,1,10,300,300,263,604.0,17.05426356589147,True,0.7033333333333334,765,5762,1.0,0.3793103448275862,18,0.35423699999955716,3.13.15,2.5.1,development,small,optimum
